  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37343367861E-09,0.59749365979E-02,0.32264669832E-03,0.51623452206E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.37958052178E-09,0.60732858423E-02,0.65060426914E-03,0.10409664188E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37737675984E-09,0.60380254057E-02,0.97665778964E-03,0.15626518139E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37761284963E-09,0.60418026090E-02,0.13029152917E-02,0.20846635593E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37778612847E-09,0.60445748164E-02,0.16293225067E-02,0.26069148234E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37831193648E-09,0.60529875017E-02,0.19561840198E-02,0.31298929436E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37792900571E-09,0.60468603709E-02,0.22827146808E-02,0.36523416796E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37803838340E-09,0.60486101746E-02,0.26093398440E-02,0.41749415987E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37804552520E-09,0.60487241963E-02,0.29359711778E-02,0.46975513693E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37748515109E-09,0.60397579734E-02,0.32621183483E-02,0.52193864582E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37791073524E-09,0.60465670784E-02,0.35886332236E-02,0.57418098538E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37835558582E-09,0.60536844320E-02,0.39155324497E-02,0.62648481887E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37922792732E-09,0.60676416342E-02,0.42431853789E-02,0.67890924259E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.37972613807E-09,0.60756127531E-02,0.45712687622E-02,0.73140253678E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.37986528786E-09,0.60778389031E-02,0.48994723709E-02,0.78391506490E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.37961695363E-09,0.60738653197E-02,0.52274614189E-02,0.83639326126E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38037501281E-09,0.60859939799E-02,0.55561054300E-02,0.88897624925E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.16403553861E-08,0.60867532387E-02,0.69733724835E-02,0.94156579723E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.94922195148E-05,0.60375130015E-02,0.82082510333E+01,0.99372990956E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.19124851833E-03,0.58212193480E-02,0.17344697087E+03,0.10440252447E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.51874544612E-03,0.56280444660E-02,0.62164303632E+03,0.10926515489E+06
 0.19008000000E+08,0.60273972603E+00,0.12030803138E+07,0.74208626188E-03,0.54353765467E-02,0.12628055666E+04,0.11396132023E+06
