gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.66343796E+00, -0.66343796E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999991E+03,  0.16000000E+03,  0.16000000E+03,  0.42245714E-07,  0.83969334E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942122E-05,  0.14525782E-01,  0.72602831E-04,  0.35221714E+00,  0.36527126E-06,  0.17720356E-02,  0.14328501E-02, -0.45503223E-03,  0.69511666E+01,  0.18930028E-01,  0.58744491E+00,  0.91834991E+02,  0.16712319E-03, -0.20498014E+01,  0.81076249E+00, -0.31239285E+07, -0.31239284E+07, -0.31239301E+07,  0.24733766E+06,  0.59973752E+07,  0.30173325E+05,  0.23529659E-03,  0.65235044E-10,  0.36069047E+07, -0.60188663E+00, -0.60188663E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16800124E+02,  0.69921910E+01,  0.31974483E-01,  0.10438367E+03,  0.16000000E+03,  0.15907823E+03,  0.51028159E-07,  0.83482718E-05,  0.18703384E-05,  0.65245706E+00,  0.94041770E+00,  0.74394863E+00,  0.29721807E-05,  0.14418900E-01,  0.60107175E-04,  0.29159713E+00,  0.36740041E-06,  0.17823647E-02,  0.14267079E-02, -0.12392319E-03,  0.69213691E+01,  0.24406074E-01,  0.53121948E+00,  0.11840086E+03,  0.16828902E-03, -0.10870486E+01,  0.81641828E+00, -0.32125166E+07, -0.31034050E+07, -0.19482417E+08,  0.24551774E+06,  0.49651684E+07,  0.30349203E+05,  0.12020197E-03,  0.23529659E-03,  0.51085300E+00, -0.62001500E+00, -0.62001500E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.12489109E+02,  0.12489109E+02,  0.36797884E-01,  0.10434917E+03,  0.16998638E+03,  0.15809209E+03,  0.79259856E-07,  0.89567469E-05,  0.18541950E-05,  0.65474707E+00,  0.98843872E+00,  0.74059652E+00,  0.29565006E-05,  0.14342832E-01,  0.38697503E-04,  0.18773268E+00,  0.34244113E-06,  0.16612800E-02,  0.14188859E-02, -0.77643384E-04,  0.68834222E+01,  0.12691359E-01,  0.30657491E+00,  0.61569419E+02,  0.16426937E-03, -0.95191460E+00,  0.79691778E+00, -0.38586676E+07, -0.36046919E+07, -0.47446131E+08,  0.24422248E+06,  0.31966170E+07,  0.28287436E+05,  0.38850685E-04,  0.67506940E-04,  0.57550653E+00, -0.66922940E+00, -0.66922940E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17725944E+02,  0.17725944E+02,  0.36720087E-01,  0.10434802E+03,  0.16849895E+03,  0.15772845E+03,  0.92206919E-07,  0.85868682E-05,  0.18407598E-05,  0.65766577E+00,  0.10399304E+01,  0.73992569E+00,  0.29581697E-05,  0.14350929E-01,  0.33263865E-04,  0.16137254E+00,  0.35719175E-06,  0.17328395E-02,  0.14196100E-02, -0.85731415E-04,  0.68869348E+01,  0.12810206E-01,  0.23918276E+00,  0.62145983E+02,  0.17092092E-03, -0.90685631E+00,  0.82918637E+00, -0.39635122E+07, -0.36836146E+07, -0.47007715E+08,  0.24436035E+06,  0.27477699E+07,  0.29505915E+05,  0.33259166E-04,  0.53662381E-04,  0.61978550E+00, -0.64001500E+00, -0.64001500E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18128158E+02,  0.18128158E+02,  0.36720087E-01,  0.10434792E+03,  0.17273634E+03,  0.15762813E+03,  0.93275154E-07,  0.86462899E-05,  0.18375043E-05,  0.65548479E+00,  0.10444844E+01,  0.74166570E+00,  0.29585825E-05,  0.14352932E-01,  0.32882910E-04,  0.15952442E+00,  0.35473695E-06,  0.17209306E-02,  0.14197615E-02, -0.80298237E-04,  0.68876700E+01,  0.12632036E-01,  0.24043358E+00,  0.61281626E+02,  0.16987310E-03, -0.90376247E+00,  0.82410308E+00, -0.40191425E+07, -0.37327930E+07, -0.52042890E+08,  0.24439446E+06,  0.27163011E+07,  0.29303135E+05,  0.61914542E-05,  0.25735421E-04,  0.24058104E+00, -0.64435720E+00, -0.64435720E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19124530E+02,  0.31384100E+01,  0.37031274E-01,  0.10434783E+03,  0.16910544E+03,  0.15760958E+03,  0.94168684E-07,  0.85699540E-05,  0.18369922E-05,  0.65753406E+00,  0.10394176E+01,  0.74377950E+00,  0.29590668E-05,  0.14355281E-01,  0.32570897E-04,  0.15801075E+00,  0.35789673E-06,  0.17362596E-02,  0.14199570E-02, -0.85987843E-04,  0.68886183E+01,  0.12618186E-01,  0.23886476E+00,  0.61214437E+02,  0.17144403E-03, -0.90241539E+00,  0.83172414E+00, -0.40221177E+07, -0.37351172E+07, -0.48269397E+08,  0.24443446E+06,  0.26905271E+07,  0.29564149E+05,  0.51869351E-04,  0.17187850E-03,  0.30177916E+00, -0.65108240E+00, -0.65108240E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16411655E+02,  0.16411655E+02,  0.37186868E-01,  0.10434793E+03,  0.17203821E+03,  0.15760539E+03,  0.94249678E-07,  0.86237294E-05,  0.18367110E-05,  0.65418288E+00,  0.10451545E+01,  0.74322193E+00,  0.29585844E-05,  0.14352941E-01,  0.32542907E-04,  0.15787497E+00,  0.35566497E-06,  0.17254327E-02,  0.14197442E-02, -0.75794296E-04,  0.68875858E+01,  0.12577160E-01,  0.23899670E+00,  0.61015409E+02,  0.17026481E-03, -0.90155179E+00,  0.82600338E+00, -0.40291901E+07, -0.37404345E+07, -0.51390676E+08,  0.24439461E+06,  0.26882150E+07,  0.29379795E+05,  0.11392539E-04,  0.32781773E-04,  0.34752663E+00, -0.64652455E+00, -0.64652455E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18217338E+02,  0.18217338E+02,  0.37342461E-01,  0.10434811E+03,  0.17229265E+03,  0.15760080E+03,  0.62091309E-07,  0.83088449E-05,  0.18366892E-05,  0.65385770E+00,  0.10434102E+01,  0.74369999E+00,  0.29991063E-05,  0.14549524E-01,  0.49397549E-04,  0.23964167E+00,  0.36914379E-06,  0.17908223E-02,  0.14364659E-02, -0.38755666E-03,  0.69687077E+01,  0.18726378E-01,  0.43425110E+00,  0.90847027E+02,  0.17271986E-03, -0.15296423E+01,  0.83791354E+00, -0.34405587E+07, -0.31943003E+07, -0.44122109E+08,  0.24774194E+06,  0.40804970E+07,  0.30493216E+05,  0.13538595E-03,  0.10801116E-04,  0.12534441E+02, -0.74328566E+00, -0.74328566E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14078207E+02,  0.17666883E+01,  0.37964836E-01,  0.10435740E+03,  0.26091858E+03,  0.15777099E+03,  0.18187232E-07,  0.83666460E-05,  0.18368652E-05,  0.65458372E+00,  0.11208953E+01,  0.75635518E+00,  0.31307564E-05,  0.15188197E-01,  0.16864350E-03,  0.81813795E+00,  0.36659355E-06,  0.17784504E-02,  0.14886576E-02,  0.76807933E-03,  0.72219048E+01,  0.59891373E-01,  0.38273386E+01,  0.29055022E+03,  0.16776719E-03, -0.11209460E+01,  0.81388670E+00, -0.44317060E+07, -0.31327134E+07, -0.63370413E+09,  0.25861693E+06,  0.13930839E+08,  0.30282553E+05,  0.62313643E-04,  0.13538595E-03,  0.46026670E+00, -0.68264280E+00, -0.68264280E+00,
