  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37225292053E-09,0.59560444662E-02,0.32162652334E-03,0.51460224188E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.38147120786E-09,0.61035368060E-02,0.65121764693E-03,0.10419478219E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37748926520E-09,0.60398254907E-02,0.97736837207E-03,0.15637887443E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37914009345E-09,0.60662384974E-02,0.13049454128E-02,0.20879117505E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37814877380E-09,0.60503771370E-02,0.16316659534E-02,0.26106643351E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37858708509E-09,0.60573898731E-02,0.19587651949E-02,0.31340228202E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37809216110E-09,0.60494708530E-02,0.22854368221E-02,0.36566971019E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37820750599E-09,0.60513161249E-02,0.26122081073E-02,0.41795308151E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37834604896E-09,0.60535325684E-02,0.29390990936E-02,0.47025560290E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37741376779E-09,0.60386158397E-02,0.32651845889E-02,0.52242924375E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37791748563E-09,0.60466750791E-02,0.35917052965E-02,0.57467251644E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37903983065E-09,0.60646323339E-02,0.39191957102E-02,0.62707093980E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37862244031E-09,0.60579538560E-02,0.42463254986E-02,0.67941166112E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.37973665920E-09,0.60757810876E-02,0.45744179722E-02,0.73190640971E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.38027681809E-09,0.60844233747E-02,0.49029771430E-02,0.78447582767E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.37960268697E-09,0.60736370485E-02,0.52309538645E-02,0.83695205177E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38069595749E-09,0.60911290844E-02,0.55598751718E-02,0.88957940706E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.14948125309E-08,0.60841990590E-02,0.68513931985E-02,0.94214688693E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.97479020861E-05,0.60417643973E-02,0.84290387956E+01,0.99434773132E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.18740528526E-03,0.58274189345E-02,0.17034720526E+03,0.10446966309E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.52322224942E-03,0.56410035711E-02,0.62241122876E+03,0.10934349018E+06
