gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.73637176E+00, -0.73637176E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999990E+03,  0.16000000E+03,  0.16000000E+03,  0.42245714E-07,  0.83969333E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942123E-05,  0.14525782E-01,  0.72602832E-04,  0.35221714E+00,  0.36527127E-06,  0.17720356E-02,  0.14328501E-02, -0.45503223E-03,  0.69511666E+01,  0.18930028E-01,  0.58744491E+00,  0.91834991E+02,  0.16712319E-03, -0.20498014E+01,  0.81076249E+00, -0.31239285E+07, -0.31239284E+07, -0.31239303E+07,  0.24733766E+06,  0.59973752E+07,  0.30173325E+05,  0.23529659E-03,  0.65235044E-10,  0.36069047E+07, -0.38844000E+00, -0.38844000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.16832250E+02,  0.70369328E+01,  0.27228878E-01,  0.10435876E+03,  0.16000000E+03,  0.15912996E+03,  0.48573253E-07,  0.83543610E-05,  0.18698044E-05,  0.65267338E+00,  0.85227037E+00,  0.73479286E+00,  0.29747921E-05,  0.14431569E-01,  0.63145009E-04,  0.30633453E+00,  0.36713263E-06,  0.17810656E-02,  0.14271125E-02, -0.17048026E-03,  0.69233319E+01,  0.23587983E-01,  0.52307530E+00,  0.11443206E+03,  0.16880859E-03, -0.13394363E+01,  0.81893886E+00, -0.31515823E+07, -0.31077167E+07, -0.82917452E+07,  0.24573346E+06,  0.52161094E+07,  0.30327083E+05,  0.13791636E-03,  0.23529659E-03,  0.58613840E+00, -0.58433270E+00, -0.58433270E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.12794083E+02,  0.12794083E+02,  0.36797884E-01,  0.10435048E+03,  0.16995792E+03,  0.15802204E+03,  0.79429829E-07,  0.85790175E-05,  0.18489847E-05,  0.65442479E+00,  0.99266640E+00,  0.74283198E+00,  0.29566695E-05,  0.14343651E-01,  0.38614693E-04,  0.18733094E+00,  0.35751862E-06,  0.17344253E-02,  0.14190597E-02, -0.60452151E-04,  0.68842653E+01,  0.13136659E-01,  0.31910712E+00,  0.63729696E+02,  0.17015560E-03, -0.91822168E+00,  0.82547358E+00, -0.38587939E+07, -0.36071332E+07, -0.47450107E+08,  0.24423643E+06,  0.31897765E+07,  0.29532916E+05,  0.47809183E-04,  0.65788838E-04,  0.72670660E+00, -0.54306530E+00, -0.54306530E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18248912E+02,  0.18248912E+02,  0.37342461E-01,  0.10435077E+03,  0.16838669E+03,  0.15771673E+03,  0.90846868E-07,  0.86316063E-05,  0.18400761E-05,  0.65621929E+00,  0.10281813E+01,  0.74022112E+00,  0.29583258E-05,  0.14351687E-01,  0.33761852E-04,  0.16378842E+00,  0.35534041E-06,  0.17238582E-02,  0.14196396E-02, -0.88127841E-04,  0.68870786E+01,  0.12759991E-01,  0.24476040E+00,  0.61902373E+02,  0.16998495E-03, -0.91910086E+00,  0.82464573E+00, -0.39544496E+07, -0.36778219E+07, -0.46824555E+08,  0.24437325E+06,  0.27889063E+07,  0.29352984E+05,  0.21706865E-04,  0.33729375E-04,  0.64355967E+00, -0.50740840E+00, -0.50740840E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19026502E+02,  0.19026502E+02,  0.36875681E-01,  0.10434930E+03,  0.17263866E+03,  0.15763087E+03,  0.93100563E-07,  0.86312393E-05,  0.18373698E-05,  0.65353429E+00,  0.10465036E+01,  0.74191119E+00,  0.29584879E-05,  0.14352473E-01,  0.32944575E-04,  0.15982358E+00,  0.35535552E-06,  0.17239315E-02,  0.14197429E-02, -0.76775534E-04,  0.68875796E+01,  0.12605405E-01,  0.24107239E+00,  0.61152434E+02,  0.17016978E-03, -0.90049276E+00,  0.82554236E+00, -0.40191321E+07, -0.37311794E+07, -0.51913721E+08,  0.24438664E+06,  0.27213949E+07,  0.29354232E+05,  0.55412254E-05,  0.11002858E-04,  0.50361690E+00, -0.41633820E+00, -0.41633820E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18137615E+02,  0.18137615E+02,  0.37342461E-01,  0.10434783E+03,  0.17172198E+03,  0.15760660E+03,  0.62176633E-07,  0.83081916E-05,  0.18368190E-05,  0.65393114E+00,  0.10434723E+01,  0.74358794E+00,  0.29988657E-05,  0.14548357E-01,  0.49329762E-04,  0.23931281E+00,  0.36917282E-06,  0.17909631E-02,  0.14363552E-02, -0.38728352E-03,  0.69681709E+01,  0.18700198E-01,  0.43387424E+00,  0.90720022E+02,  0.17269431E-03, -0.15273191E+01,  0.83778961E+00, -0.34440396E+07, -0.31976896E+07, -0.43643539E+08,  0.24772206E+06,  0.40748974E+07,  0.30495614E+05,  0.13552484E-03,  0.36081041E-05,  0.37561232E+02, -0.57436085E+00, -0.57436085E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.14169984E+02,  0.17875500E+01,  0.39053991E-01,  0.10434858E+03,  0.23723420E+03,  0.15760909E+03,  0.16308739E-07,  0.83597685E-05,  0.18352996E-05,  0.65786440E+00,  0.10495271E+01,  0.75379909E+00,  0.31157703E-05,  0.15115495E-01,  0.18806840E-03,  0.91237373E+00,  0.36689515E-06,  0.17799135E-02,  0.14900226E-02, -0.17751018E-03,  0.72285265E+01,  0.90636985E-01,  0.14179109E+01,  0.43970599E+03,  0.16914738E-03, -0.99182922E+00,  0.82058243E+00, -0.38344228E+07, -0.31317473E+07, -0.23206631E+09,  0.25737899E+06,  0.15535438E+08,  0.30307466E+05,  0.69159585E-04,  0.13552484E-03,  0.51030931E+00, -0.40353233E+00, -0.40353233E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.12599416E+02,  0.13056323E+01,  0.38120429E-01,  0.10434994E+03,  0.25546690E+03,  0.15771339E+03,  0.22546799E-07,  0.83652323E-05,  0.18359440E-05,  0.65762561E+00,  0.11442449E+01,  0.76173477E+00,  0.31036306E-05,  0.15056602E-01,  0.13603521E-03,  0.65994578E+00,  0.36665551E-06,  0.17787509E-02,  0.14802729E-02, -0.11061780E-02,  0.71812282E+01,  0.39983647E-01,  0.10810384E+01,  0.19397213E+03,  0.17046758E-03, -0.36191670E+01,  0.82698707E+00, -0.41665926E+07, -0.31256331E+07, -0.48185385E+09,  0.25637619E+06,  0.11237223E+08,  0.30287671E+05,  0.45453908E-04,  0.69159585E-04,  0.65723222E+00, -0.47232676E+00, -0.47232676E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13973241E+02,  0.31897026E+01,  0.37342461E-01,  0.10434837E+03,  0.24858161E+03,  0.15739247E+03,  0.10529222E-07,  0.83508845E-05,  0.18229337E-05,  0.65288086E+00,  0.11489132E+01,  0.76357289E+00,  0.31588744E-05,  0.15324605E-01,  0.29129962E-03,  0.14131780E+01,  0.36728547E-06,  0.17818071E-02,  0.14960950E-02, -0.23141010E-02,  0.72579857E+01,  0.78997912E-01,  0.11207278E+01,  0.38324151E+03,  0.17427474E-03, -0.80838745E+01,  0.84545671E+00, -0.41630743E+07, -0.31209267E+07, -0.35526268E+09,  0.26093962E+06,  0.24062879E+08,  0.30339709E+05,  0.10029119E-04,  0.21464260E-04,  0.46724736E+00, -0.45096540E+00, -0.45096540E+00,
