  Current Time (s),Current Time (years),Pore Volume,Phase1-S1- Volume rate,Phase2-S1- Volume rate,Phase1-S1- Cumulative production,Phase2-S1- Cumulative production
 0.86400000000E+06,0.27397260274E-01,0.12030803138E+07,0.37273559262E-09,0.59637672275E-02,0.32204355202E-03,0.51526948845E+04
 0.17280000000E+07,0.54794520548E-01,0.12030803138E+07,0.37975235683E-09,0.60760351999E-02,0.65014958832E-03,0.10402389297E+05
 0.25920000000E+07,0.82191780822E-01,0.12030803138E+07,0.37723091492E-09,0.60356918929E-02,0.97607709882E-03,0.15617227093E+05
 0.34560000000E+07,0.10958904110E+00,0.12030803138E+07,0.37810624064E-09,0.60496968613E-02,0.13027608907E-02,0.20844165181E+05
 0.43200000000E+07,0.13698630137E+00,0.12030803138E+07,0.37758050232E-09,0.60412848087E-02,0.16289904447E-02,0.26063835256E+05
 0.51840000000E+07,0.16438356164E+00,0.12030803138E+07,0.37763769367E-09,0.60421996237E-02,0.19552694121E-02,0.31284295730E+05
 0.60480000000E+07,0.19178082192E+00,0.12030803138E+07,0.37711022491E-09,0.60337598841E-02,0.22810926464E-02,0.36497464270E+05
 0.69120000000E+07,0.21917808219E+00,0.12030803138E+07,0.37795604440E-09,0.60472927532E-02,0.26076466688E-02,0.41722325209E+05
 0.77760000000E+07,0.24657534247E+00,0.12030803138E+07,0.37739694626E-09,0.60383469360E-02,0.29337176303E-02,0.46939456962E+05
 0.86400000000E+07,0.27397260274E+00,0.12030803138E+07,0.37804666765E-09,0.60487422358E-02,0.32603499512E-02,0.52165570253E+05
 0.95040000000E+07,0.30136986301E+00,0.12030803138E+07,0.37794144120E-09,0.60470583659E-02,0.35868913564E-02,0.57390228682E+05
 0.10368000000E+08,0.32876712329E+00,0.12030803138E+07,0.37861843573E-09,0.60578900254E-02,0.39140176848E-02,0.62624245664E+05
 0.11232000000E+08,0.35616438356E+00,0.12030803138E+07,0.37866201199E-09,0.60585870057E-02,0.42411816632E-02,0.67858864837E+05
 0.12096000000E+08,0.38356164384E+00,0.12030803138E+07,0.37909702853E-09,0.60655470160E-02,0.45687214959E-02,0.73099497458E+05
 0.12960000000E+08,0.41095890411E+00,0.12030803138E+07,0.37969321054E-09,0.60750856732E-02,0.48967764298E-02,0.78348371480E+05
 0.13824000000E+08,0.43835616438E+00,0.12030803138E+07,0.37957090925E-09,0.60731286130E-02,0.52247256954E-02,0.83595554602E+05
 0.14688000000E+08,0.46575342466E+00,0.12030803138E+07,0.38014109302E-09,0.60822512918E-02,0.55531675997E-02,0.88850619718E+05
 0.15552000000E+08,0.49315068493E+00,0.12030803138E+07,0.38040996186E-09,0.60865082693E-02,0.58818418068E-02,0.94109362862E+05
 0.16416000000E+08,0.52054794521E+00,0.12030803138E+07,0.12265377246E-04,0.60649625707E-02,0.10603167783E+02,0.99349490524E+05
 0.17280000000E+08,0.54794520548E+00,0.12030803138E+07,0.20747362624E-03,0.59585272681E-02,0.18986038085E+03,0.10449765808E+06
 0.18144000000E+08,0.57534246575E+00,0.12030803138E+07,0.52161356171E-03,0.56243592681E-02,0.64053449817E+03,0.10935710449E+06
 0.19008000000E+08,0.60273972603E+00,0.12030803138E+07,0.74131064478E-03,0.54311325802E-02,0.12810268953E+04,0.11404960304E+06
 0.19872000000E+08,0.63013698630E+00,0.12030803138E+07,0.86088207182E-03,0.53448445023E-02,0.20248290053E+04,0.11866754869E+06
 0.20736000000E+08,0.65753424658E+00,0.12030803138E+07,0.93631473592E-03,0.52910676620E-02,0.28338049371E+04,0.12323903115E+06
 0.21600000000E+08,0.68493150685E+00,0.12030803138E+07,0.99546832752E-03,0.52587723191E-02,0.36938895721E+04,0.12778261043E+06
 0.22464000000E+08,0.71232876712E+00,0.12030803138E+07,0.10442691607E-02,0.52334635290E-02,0.45961381270E+04,0.13230432292E+06
 0.23328000000E+08,0.73972602740E+00,0.12030803138E+07,0.10868470775E-02,0.52147583259E-02,0.55351740020E+04,0.13680987412E+06
 0.24192000000E+08,0.76712328767E+00,0.12030803138E+07,0.11232330576E-02,0.51975511387E-02,0.65056473638E+04,0.14130055830E+06
 0.25056000000E+08,0.79452054795E+00,0.12030803138E+07,0.11565727408E-02,0.51831518069E-02,0.75049262119E+04,0.14577880146E+06
 0.25920000000E+08,0.82191780822E+00,0.12030803138E+07,0.11869325629E-02,0.51698656968E-02,0.85304359462E+04,0.15024556542E+06
 0.26784000000E+08,0.84931506849E+00,0.12030803138E+07,0.12155766333E-02,0.51587256572E-02,0.95806941574E+04,0.15470270439E+06
 0.27648000000E+08,0.87671232877E+00,0.12030803138E+07,0.12392592741E-02,0.51515579666E-02,0.10651414170E+05,0.15915365047E+06
 0.28512000000E+08,0.90410958904E+00,0.12030803138E+07,0.12667676161E-02,0.51332893265E-02,0.11745901391E+05,0.16358881245E+06
 0.29376000000E+08,0.93150684932E+00,0.12030803138E+07,0.12900157265E-02,0.51229406980E-02,0.12860474978E+05,0.16801503322E+06
 0.30240000000E+08,0.95890410959E+00,0.12030803138E+07,0.13122750400E-02,0.51141511679E-02,0.13994280613E+05,0.17243365982E+06
 0.31104000000E+08,0.98630136986E+00,0.12030803138E+07,0.13331196850E-02,0.51064658220E-02,0.15146096021E+05,0.17684564629E+06
 0.31968000000E+08,0.10136986301E+01,0.12030803138E+07,0.13532977123E-02,0.50997238852E-02,0.16315345244E+05,0.18125180773E+06
 0.32832000000E+08,0.10410958904E+01,0.12030803138E+07,0.13719869728E-02,0.50932606774E-02,0.17500741988E+05,0.18565238496E+06
 0.33696000000E+08,0.10684931507E+01,0.12030803138E+07,0.13903905055E-02,0.50875879162E-02,0.18702039385E+05,0.19004806092E+06
 0.34560000000E+08,0.10958904110E+01,0.12030803138E+07,0.14074607630E-02,0.50820546004E-02,0.19918085484E+05,0.19443895609E+06
 0.35424000000E+08,0.11232876712E+01,0.12030803138E+07,0.14202891894E-02,0.50656769068E-02,0.21145215344E+05,0.19881570094E+06
 0.36288000000E+08,0.11506849315E+01,0.12030803138E+07,0.14411013600E-02,0.50751815093E-02,0.22390326919E+05,0.20320065776E+06
 0.37152000000E+08,0.11780821918E+01,0.12030803138E+07,0.14562306392E-02,0.50687333211E-02,0.23648510191E+05,0.20758004335E+06
 0.38016000000E+08,0.12054794521E+01,0.12030803138E+07,0.14708088341E-02,0.50678123515E-02,0.24919289024E+05,0.21195863322E+06
 0.38880000000E+08,0.12328767123E+01,0.12030803138E+07,0.14848838640E-02,0.50697622233E-02,0.26202228683E+05,0.21633890778E+06
 0.39744000000E+08,0.12602739726E+01,0.12030803138E+07,0.14989124048E-02,0.50687733539E-02,0.27497289000E+05,0.22071832796E+06
 0.40608000000E+08,0.12876712329E+01,0.12030803138E+07,0.15120599307E-02,0.50723415011E-02,0.28803708780E+05,0.22510083102E+06
 0.41472000000E+08,0.13150684932E+01,0.12030803138E+07,0.15244289966E-02,0.50712815510E-02,0.30120815434E+05,0.22948241828E+06
 0.42336000000E+08,0.13424657534E+01,0.12030803138E+07,0.15370712842E-02,0.50755460713E-02,0.31448845023E+05,0.23386769009E+06
 0.43200000000E+08,0.13698630137E+01,0.12030803138E+07,0.15487105752E-02,0.50756495384E-02,0.32786930960E+05,0.23825305129E+06
 0.44064000000E+08,0.13972602740E+01,0.12030803138E+07,0.15602740267E-02,0.50812553568E-02,0.34135007719E+05,0.24264325591E+06
 0.44928000000E+08,0.14246575342E+01,0.12030803138E+07,0.15710859670E-02,0.50831003845E-02,0.35492425995E+05,0.24703505465E+06
 0.45792000000E+08,0.14520547945E+01,0.12030803138E+07,0.15810959636E-02,0.50883573124E-02,0.36858492907E+05,0.25143139536E+06
 0.46656000000E+08,0.14794520548E+01,0.12030803138E+07,0.15847727325E-02,0.50780829086E-02,0.38227736548E+05,0.25581885900E+06
 0.47520000000E+08,0.15068493151E+01,0.12030803138E+07,0.16025287671E-02,0.50958300713E-02,0.39612321403E+05,0.26022165618E+06
 0.48384000000E+08,0.15342465753E+01,0.12030803138E+07,0.16114070654E-02,0.50968953414E-02,0.41004577107E+05,0.26462537375E+06
 0.49248000000E+08,0.15616438356E+01,0.12030803138E+07,0.16215783676E-02,0.51023236991E-02,0.42405620817E+05,0.26903378143E+06
 0.50112000000E+08,0.15890410959E+01,0.12030803138E+07,0.16305695071E-02,0.51087201528E-02,0.43814432871E+05,0.27344771564E+06
 0.50976000000E+08,0.16164383562E+01,0.12030803138E+07,0.16392841570E-02,0.51143903369E-02,0.45230774383E+05,0.27786654889E+06
 0.51840000000E+08,0.16438356164E+01,0.12030803138E+07,0.16472977830E-02,0.51216610684E-02,0.46654039667E+05,0.28229166406E+06
 0.52704000000E+08,0.16712328767E+01,0.12030803138E+07,0.16557632763E-02,0.51274700157E-02,0.48084619138E+05,0.28672179815E+06
 0.53568000000E+08,0.16986301370E+01,0.12030803138E+07,0.16638693944E-02,0.51332443269E-02,0.49522202295E+05,0.29115692125E+06
 0.54432000000E+08,0.17260273973E+01,0.12030803138E+07,0.16715155415E-02,0.51377060913E-02,0.50966391723E+05,0.29559589931E+06
 0.55296000000E+08,0.17534246575E+01,0.12030803138E+07,0.16789383068E-02,0.51427256427E-02,0.52416994420E+05,0.30003921427E+06
 0.56160000000E+08,0.17808219178E+01,0.12030803138E+07,0.16861328418E-02,0.51452593626E-02,0.53873813195E+05,0.30448471836E+06
 0.57024000000E+08,0.18082191781E+01,0.12030803138E+07,0.16932551061E-02,0.51500437418E-02,0.55336785607E+05,0.30893435615E+06
 0.57888000000E+08,0.18356164384E+01,0.12030803138E+07,0.16972976957E-02,0.51646646111E-02,0.56803250816E+05,0.31339662637E+06
 0.58752000000E+08,0.18630136986E+01,0.12030803138E+07,0.17061954559E-02,0.51635882544E-02,0.58277403690E+05,0.31785796662E+06
 0.59616000000E+08,0.18904109589E+01,0.12030803138E+07,0.17080373300E-02,0.51819605095E-02,0.59753147943E+05,0.32233518050E+06
 0.60480000000E+08,0.19178082192E+01,0.12030803138E+07,0.17198105894E-02,0.51809854389E-02,0.61239064292E+05,0.32681155192E+06
 0.61344000000E+08,0.19452054795E+01,0.12030803138E+07,0.17251521471E-02,0.51891600149E-02,0.62729595747E+05,0.33129498618E+06
 0.62208000000E+08,0.19726027397E+01,0.12030803138E+07,0.17320771980E-02,0.51993900926E-02,0.64226110446E+05,0.33578725922E+06
 0.63072000000E+08,0.20000000000E+01,0.12030803138E+07,0.17378485501E-02,0.52086398359E-02,0.65727611594E+05,0.34028752404E+06
 0.63936000000E+08,0.20273972603E+01,0.12030803138E+07,0.17438297725E-02,0.52205894407E-02,0.67234280517E+05,0.34479811331E+06
 0.64800000000E+08,0.20547945205E+01,0.12030803138E+07,0.17499234840E-02,0.52203363005E-02,0.68746214407E+05,0.34930848388E+06
 0.65664000000E+08,0.20821917808E+01,0.12030803138E+07,0.17756140212E-02,0.52079321069E-02,0.70280344922E+05,0.35380813722E+06
 0.66528000000E+08,0.21095890411E+01,0.12030803138E+07,0.18205346496E-02,0.51640619528E-02,0.71853286859E+05,0.35826988674E+06
 0.67392000000E+08,0.21369863014E+01,0.12030803138E+07,0.18662152725E-02,0.51334015233E-02,0.73465696854E+05,0.36270514566E+06
 0.68256000000E+08,0.21643835616E+01,0.12030803138E+07,0.19050552826E-02,0.51094749595E-02,0.75111664618E+05,0.36711973202E+06
 0.69120000000E+08,0.21917808219E+01,0.12030803138E+07,0.19483129055E-02,0.51040947568E-02,0.76795006969E+05,0.37152966989E+06
 0.69984000000E+08,0.22191780822E+01,0.12030803138E+07,0.19654839451E-02,0.50779540918E-02,0.78493185097E+05,0.37591702223E+06
 0.70848000000E+08,0.22465753425E+01,0.12030803138E+07,0.20009736506E-02,0.50718637463E-02,0.80222026331E+05,0.38029911251E+06
 0.71712000000E+08,0.22739726027E+01,0.12030803138E+07,0.20621493385E-02,0.50447637762E-02,0.82003723360E+05,0.38465778841E+06
 0.72576000000E+08,0.23013698630E+01,0.12030803138E+07,0.21167383684E-02,0.50004462812E-02,0.83832585310E+05,0.38897817400E+06
 0.73440000000E+08,0.23287671233E+01,0.12030803138E+07,0.21735504169E-02,0.49654313415E-02,0.85710532870E+05,0.39326830667E+06
 0.74304000000E+08,0.23561643836E+01,0.12030803138E+07,0.22086797450E-02,0.49184246713E-02,0.87618832170E+05,0.39751782559E+06
 0.75168000000E+08,0.23835616438E+01,0.12030803138E+07,0.22661805875E-02,0.48887707679E-02,0.89576812198E+05,0.40174172353E+06
 0.76032000000E+08,0.24109589041E+01,0.12030803138E+07,0.23315707287E-02,0.48530462993E-02,0.91591289307E+05,0.40593475554E+06
 0.76896000000E+08,0.24383561644E+01,0.12030803138E+07,0.23612503972E-02,0.48145456067E-02,0.93631409651E+05,0.41009452294E+06
 0.77760000000E+08,0.24657534247E+01,0.12030803138E+07,0.24230367671E-02,0.47976956422E-02,0.95724913417E+05,0.41423973198E+06
 0.78624000000E+08,0.24931506849E+01,0.12030803138E+07,0.24428497200E-02,0.47588782561E-02,0.97835535575E+05,0.41835140279E+06
 0.79488000000E+08,0.25205479452E+01,0.12030803138E+07,0.24976735158E-02,0.47527527505E-02,0.99993525493E+05,0.42245778117E+06
 0.80352000000E+08,0.25479452055E+01,0.12030803138E+07,0.25134322138E-02,0.47208008830E-02,0.10216513093E+06,0.42653655313E+06
 0.81216000000E+08,0.25753424658E+01,0.12030803138E+07,0.25630836507E-02,0.47145714225E-02,0.10437963520E+06,0.43060994284E+06
 0.82080000000E+08,0.26027397260E+01,0.12030803138E+07,0.25763884858E-02,0.46870592510E-02,0.10660563485E+06,0.43465956203E+06
 0.82944000000E+08,0.26301369863E+01,0.12030803138E+07,0.26279260792E-02,0.46730571520E-02,0.10887616298E+06,0.43869708341E+06
 0.83808000000E+08,0.26575342466E+01,0.12030803138E+07,0.26711890363E-02,0.46393779848E-02,0.11118407031E+06,0.44270550599E+06
 0.84672000000E+08,0.26849315068E+01,0.12030803138E+07,0.27423320821E-02,0.45846016200E-02,0.11355344523E+06,0.44666660179E+06
 0.85536000000E+08,0.27123287671E+01,0.12030803138E+07,0.28226040127E-02,0.44948423413E-02,0.11599217510E+06,0.45055014557E+06
 0.86400000000E+08,0.27397260274E+01,0.12030803138E+07,0.29802153529E-02,0.43846483393E-02,0.11856708116E+06,0.45433848174E+06
