gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.52141284E-07,  0.83509712E-05,  0.18774525E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29616078E-05,  0.14367608E-01,  0.58823992E-04,  0.28537204E+00,  0.36728165E-06,  0.17817885E-02,  0.14219797E-02, -0.15522009E-03,  0.68984312E+01,  0.24628161E-01,  0.61560768E+00,  0.11947827E+03,  0.16716305E-03, -0.97819572E+00,  0.81095586E+00, -0.31103888E+07, -0.31103888E+07, -0.31103888E+07,  0.24464436E+06,  0.48591707E+07,  0.30339393E+05,  0.65235044E-10, -0.10000000E+01, -0.65235044E-10, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20949910E+02,  0.00000000E+00,  0.00000000E+00,  0.15999987E+03,  0.16000000E+03,  0.16000000E+03,  0.42245714E-07,  0.83969330E-05,  0.18748833E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.29942123E-05,  0.14525782E-01,  0.72602832E-04,  0.35221715E+00,  0.36527128E-06,  0.17720357E-02,  0.14328501E-02, -0.45503223E-03,  0.69511667E+01,  0.18930028E-01,  0.58744491E+00,  0.91834992E+02,  0.16712319E-03, -0.20498014E+01,  0.81076251E+00, -0.31239285E+07, -0.31239284E+07, -0.31239309E+07,  0.24733766E+06,  0.59973753E+07,  0.30173326E+05,  0.23529658E-03,  0.65235044E-10,  0.36069046E+07, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19952475E+02,  0.69088028E+01,  0.34930761E-01,  0.10434906E+03,  0.30000000E+03,  0.15978975E+03,  0.48376846E-07,  0.83733314E-05,  0.18779499E-05,  0.65229986E+00,  0.21891860E+01,  0.92247555E+00,  0.29789807E-05,  0.14451889E-01,  0.63401374E-04,  0.30757824E+00,  0.36630086E-06,  0.17770304E-02,  0.14305772E-02, -0.40920940E-04,  0.69401401E+01,  0.28844987E-01,  0.61515927E+00,  0.13993530E+03,  0.16574376E-03, -0.70245190E+00,  0.80407050E+00, -0.20205268E+10, -0.31099694E+07, -0.11233241E+13,  0.24607945E+06,  0.52372865E+07,  0.30258375E+05,  0.18708476E-03,  0.23529658E-03,  0.79510190E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.13370559E+02,  0.13370559E+02,  0.41076708E-01,  0.10434868E+03,  0.26185973E+03,  0.15820365E+03,  0.87183851E-07,  0.12836353E-04,  0.18618190E-05,  0.65350372E+00,  0.17476217E+01,  0.75078714E+00,  0.29537421E-05,  0.14329449E-01,  0.35180351E-04,  0.17066997E+00,  0.23894314E-06,  0.11591817E-02,  0.14176991E-02, -0.62826270E-04,  0.68776645E+01,  0.12469765E-01,  0.25900872E+00,  0.60494404E+02,  0.11508599E-03, -0.88725045E+00,  0.55831513E+00, -0.41905063E+07, -0.36860721E+07, -0.78414403E+09,  0.24399461E+06,  0.29060818E+07,  0.19737959E+05,  0.16308212E-03,  0.18488475E-03,  0.88207448E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.17910307E+02,  0.17910307E+02,  0.36408900E-01,  0.10434847E+03,  0.26184022E+03,  0.15785797E+03,  0.92127638E-07,  0.84186642E-05,  0.18487742E-05,  0.65432472E+00,  0.10556074E+01,  0.74005797E+00,  0.29575594E-05,  0.14347968E-01,  0.33292490E-04,  0.16151141E+00,  0.36432840E-06,  0.17674615E-02,  0.14192835E-02, -0.94360338E-04,  0.68853511E+01,  0.12924486E-01,  0.23983923E+00,  0.62700385E+02,  0.17529994E-03, -0.91689204E+00,  0.85043027E+00, -0.43378455E+07, -0.36804484E+07, -0.78212215E+09,  0.24430994E+06,  0.27501345E+07,  0.30095440E+05,  0.80300363E-04,  0.11217731E-03,  0.71583426E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19555041E+02,  0.19555041E+02,  0.37887039E-01,  0.10434783E+03,  0.17187788E+03,  0.15772895E+03,  0.93205376E-07,  0.86187900E-05,  0.18457352E-05,  0.65323719E+00,  0.10269883E+01,  0.74355160E+00,  0.29574542E-05,  0.14347458E-01,  0.32907528E-04,  0.15964385E+00,  0.35586880E-06,  0.17264215E-02,  0.14192190E-02, -0.67840657E-04,  0.68850382E+01,  0.12452503E-01,  0.24541914E+00,  0.60410663E+02,  0.16145773E-03, -0.90073350E+00,  0.78327772E+00, -0.40201776E+07, -0.37395587E+07, -0.51206232E+08,  0.24430125E+06,  0.27183346E+07,  0.29396632E+05,  0.17052746E-03,  0.54278443E-03,  0.31417162E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.19439561E+02,  0.19439561E+02,  0.37342461E-01,  0.10434787E+03,  0.16848259E+03,  0.15762813E+03,  0.94124892E-07,  0.86649688E-05,  0.18384815E-05,  0.65434563E+00,  0.10476795E+01,  0.74443972E+00,  0.29588077E-05,  0.14354024E-01,  0.32586050E-04,  0.15808427E+00,  0.35397225E-06,  0.17172208E-02,  0.14198710E-02, -0.84397578E-04,  0.68882014E+01,  0.12718863E-01,  0.23700591E+00,  0.61702848E+02,  0.16926382E-03, -0.90472280E+00,  0.82114729E+00, -0.40223533E+07, -0.37344010E+07, -0.47639639E+08,  0.24441305E+06,  0.26917789E+07,  0.29239967E+05,  0.15714614E-04,  0.31070949E-04,  0.50576548E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.20741741E+02,  0.20741741E+02,  0.37809242E-01,  0.10434791E+03,  0.18151830E+03,  0.15765931E+03,  0.94029511E-07,  0.83574117E-05,  0.18392544E-05,  0.65305027E+00,  0.10516861E+01,  0.74371560E+00,  0.29585708E-05,  0.14352875E-01,  0.32619105E-04,  0.15824463E+00,  0.36699861E-06,  0.17804154E-02,  0.14197406E-02, -0.80426738E-04,  0.68875685E+01,  0.12536382E-01,  0.24080358E+00,  0.60817582E+02,  0.17577622E-03, -0.90243592E+00,  0.85274082E+00, -0.40435566E+07, -0.37381571E+07, -0.62867152E+08,  0.24439349E+06,  0.26945094E+07,  0.30316013E+05,  0.12888540E-03,  0.10485310E-03,  0.12291997E+01, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18240008E+02,  0.18240008E+02,  0.37264665E-01,  0.10434801E+03,  0.17151984E+03,  0.15760754E+03,  0.94136558E-07,  0.87415855E-05,  0.18372243E-05,  0.65378178E+00,  0.10410848E+01,  0.74394123E+00,  0.29586005E-05,  0.14353019E-01,  0.32582012E-04,  0.15806468E+00,  0.35086981E-06,  0.17021700E-02,  0.14197554E-02, -0.78177237E-04,  0.68876403E+01,  0.12630848E-01,  0.23853239E+00,  0.61275862E+02,  0.16788348E-03, -0.90350756E+00,  0.81445090E+00, -0.40249734E+07, -0.37385341E+07, -0.50809665E+08,  0.24439594E+06,  0.26914453E+07,  0.28983690E+05,  0.13155961E-04,  0.32148136E-04,  0.40922936E+00, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.69651178E+02,  0.18147385E+02,  0.18147385E+02,  0.37342461E-01,  0.10434803E+03,  0.17358909E+03,  0.15760835E+03,  0.62061027E-07,  0.83069817E-05,  0.18369477E-05,  0.65558511E+00,  0.10424030E+01,  0.74438655E+00,  0.29989374E-05,  0.14548705E-01,  0.49421652E-04,  0.23975860E+00,  0.36922658E-06,  0.17912240E-02,  0.14363762E-02, -0.38730328E-03,  0.69682724E+01,  0.18729269E-01,  0.43456150E+00,  0.90861049E+02,  0.17279194E-03, -0.15304333E+01,  0.83826320E+00, -0.34413362E+07, -0.31932025E+07, -0.45326080E+08,  0.24772798E+06,  0.40824880E+07,  0.30500055E+05,  0.13956013E-03,  0.40134371E-04,  0.34773219E+01, -0.10000000E+01, -0.10000000E+01,
