gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.63750000E+00, -0.63750000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359969E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382701E+00,  0.49007708E+01,  0.49448679E+02,  0.35438296E+03,  0.32173055E-03,  0.23057406E-02,  0.13300834E+02,  0.14114785E+02,  0.95322847E+02,  0.11314691E+04,  0.12666375E+04,  0.81088796E+04,  0.73021964E-02, -0.10074253E+04,  0.52332520E-01, -0.66089727E+07, -0.66089726E+07, -0.66089729E+07,  0.37410690E+09,  0.27052298E+11,  0.17601179E+06,  0.26630661E-03,  0.40639691E-10,  0.65528698E+07, -0.90000000E+00, -0.90000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.10937630E+01,  0.36597130E-01,  0.10439176E+03,  0.22038937E+03,  0.15906784E+03,  0.49720542E-10,  0.77606808E-05,  0.12943632E-05,  0.65244954E+00,  0.14084155E+01,  0.77657169E+00,  0.68177822E+00,  0.48860877E+01,  0.50084610E+02,  0.35894048E+03,  0.32087829E-03,  0.22996327E-02,  0.13286976E+02,  0.13939205E+02,  0.95223536E+02,  0.11443224E+04,  0.12740992E+04,  0.82009948E+04,  0.74074900E-02, -0.10285355E+04,  0.53087126E-01, -0.73269921E+07, -0.66208577E+07, -0.28911359E+09,  0.37298605E+09,  0.27400202E+11,  0.17554554E+06,  0.16274913E-03,  0.26630661E-03,  0.61113440E+00, -0.45555556E+00, -0.45555556E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14352270E+01,  0.11476588E+01,  0.42807187E-01,  0.10435590E+03,  0.16000000E+03,  0.15840645E+03,  0.47239331E-10,  0.95701858E-05,  0.12681747E-05,  0.65228521E+00,  0.95908885E+00,  0.72587870E+00,  0.69108409E+00,  0.49527800E+01,  0.52715267E+02,  0.37779356E+03,  0.26020748E-03,  0.18648243E-02,  0.13477326E+02,  0.13830206E+02,  0.96587711E+02,  0.11999916E+04,  0.13037752E+04,  0.85999582E+04,  0.60651852E-02, -0.11142703E+04,  0.43467254E-01, -0.69839768E+07, -0.67562736E+07, -0.47270725E+08,  0.37807709E+09,  0.28839378E+11,  0.14235386E+06,  0.46855445E-04,  0.83912734E-04,  0.55838301E+00, -0.50000000E+00, -0.50000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.19468179E+01,  0.15378856E+01,  0.44435066E-01,  0.10436612E+03,  0.24596295E+03,  0.15844353E+03,  0.47512801E-10,  0.89104608E-05,  0.12695749E-05,  0.65228852E+00,  0.88685098E+00,  0.72643014E+00,  0.68985163E+00,  0.49439473E+01,  0.52411853E+02,  0.37561909E+03,  0.27947308E-03,  0.20028947E-02,  0.13460493E+02,  0.13824327E+02,  0.96467072E+02,  0.11924169E+04,  0.13004541E+04,  0.85456729E+04,  0.65153803E-02, -0.11045293E+04,  0.46693659E-01, -0.74237645E+07, -0.67429590E+07, -0.69041885E+09,  0.37740284E+09,  0.28673386E+11,  0.15289365E+06,  0.36879954E-04,  0.74666809E-04,  0.49392702E+00, -0.64166667E+00, -0.64166667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17952653E+01,  0.14836425E+01,  0.44435066E-01,  0.10434863E+03,  0.16000000E+03,  0.15832256E+03,  0.47133157E-10,  0.94100390E-05,  0.12664840E-05,  0.65217905E+00,  0.86528010E+00,  0.72757113E+00,  0.69124593E+00,  0.49539398E+01,  0.52834016E+02,  0.37864460E+03,  0.26463588E-03,  0.18965612E-02,  0.13482393E+02,  0.13826646E+02,  0.96624022E+02,  0.12029566E+04,  0.13050645E+04,  0.86212073E+04,  0.61667092E-02, -0.11180655E+04,  0.44194845E-01, -0.69929567E+07, -0.67526429E+07, -0.40499238E+08,  0.37816563E+09,  0.28904342E+11,  0.14477654E+06,  0.29013781E-04,  0.48718564E-04,  0.59553852E+00, -0.45384615E+00, -0.45384615E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18647054E+01,  0.15235605E+01,  0.44435066E-01,  0.10439931E+03,  0.22609787E+03,  0.15836116E+03,  0.47362691E-10,  0.90226144E-05,  0.12679878E-05,  0.65249570E+00,  0.87477601E+00,  0.72638181E+00,  0.69044608E+00,  0.49482075E+01,  0.52577966E+02,  0.37680956E+03,  0.27599916E-03,  0.19779982E-02,  0.13473451E+02,  0.13817951E+02,  0.96559939E+02,  0.11965635E+04,  0.13022789E+04,  0.85753905E+04,  0.64346007E-02, -0.11098733E+04,  0.46114737E-01, -0.71018593E+07, -0.67494893E+07, -0.34861224E+09,  0.37772805E+09,  0.28764263E+11,  0.15099314E+06,  0.30645587E-04,  0.75089255E-04,  0.40812214E+00, -0.65384615E+00, -0.65384615E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18281760E+01,  0.15033684E+01,  0.44435066E-01,  0.10435145E+03,  0.16528123E+03,  0.15832942E+03,  0.47162552E-10,  0.93053032E-05,  0.12666781E-05,  0.65219721E+00,  0.86938402E+00,  0.72727760E+00,  0.69113938E+00,  0.49531762E+01,  0.52801086E+02,  0.37840859E+03,  0.26761449E-03,  0.19179080E-02,  0.13482658E+02,  0.13823194E+02,  0.96625924E+02,  0.12021343E+04,  0.13047082E+04,  0.86153142E+04,  0.62360340E-02, -0.11170154E+04,  0.44691673E-01, -0.70128944E+07, -0.67533738E+07, -0.80633737E+08,  0.37810734E+09,  0.28886327E+11,  0.14640607E+06,  0.34757733E-04,  0.51208722E-04,  0.67874635E+00, -0.55384615E+00, -0.55384615E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18586414E+01,  0.15190778E+01,  0.44435066E-01,  0.10439675E+03,  0.28792860E+03,  0.15836249E+03,  0.47805268E-10,  0.88633507E-05,  0.12707639E-05,  0.65248097E+00,  0.87432602E+00,  0.72614648E+00,  0.68912059E+00,  0.49387082E+01,  0.52091204E+02,  0.37332110E+03,  0.28095853E-03,  0.20135405E-02,  0.13461312E+02,  0.13790941E+02,  0.96472947E+02,  0.11847323E+04,  0.12969392E+04,  0.84905998E+04,  0.64877023E-02, -0.10942343E+04,  0.46495300E-01, -0.10846081E+08, -0.67445977E+07, -0.13847905E+11,  0.37700290E+09,  0.28497966E+11,  0.15370631E+06,  0.67059943E-04,  0.12592758E-03,  0.53252785E+00, -0.52857143E+00, -0.52857143E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.25915409E+01,  0.14675485E+01,  0.44435066E-01,  0.10434783E+03,  0.28055604E+03,  0.15843395E+03,  0.47703551E-10,  0.88770097E-05,  0.12707882E-05,  0.65217433E+00,  0.17454829E+01,  0.73853421E+00,  0.68934105E+00,  0.49402881E+01,  0.52202276E+02,  0.37411712E+03,  0.28052622E-03,  0.20104422E-02,  0.13462108E+02,  0.13801953E+02,  0.96478651E+02,  0.11871849E+04,  0.12981593E+04,  0.85081764E+04,  0.64769994E-02, -0.10978048E+04,  0.46418595E-01, -0.94839493E+07, -0.67457262E+07, -0.55500821E+10,  0.37712351E+09,  0.28558731E+11,  0.15346980E+06,  0.98412810E-04,  0.87076605E-04,  0.11301866E+01, -0.75000000E+00, -0.75000000E+00,
