gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.81666667E+00, -0.81666667E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359983E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382688E+00,  0.49007698E+01,  0.49448666E+02,  0.35438287E+03,  0.32173055E-03,  0.23057406E-02,  0.13300831E+02,  0.14114780E+02,  0.95322828E+02,  0.11314688E+04,  0.12666372E+04,  0.81088770E+04,  0.73021964E-02, -0.10074255E+04,  0.52332520E-01, -0.66089726E+07, -0.66089726E+07, -0.66089729E+07,  0.37410683E+09,  0.27052291E+11,  0.17601179E+06,  0.26630660E-03,  0.40639691E-10,  0.65528698E+07, -0.10000000E+01, -0.10000000E+01,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.12588992E+01,  0.37200048E-01,  0.10435590E+03,  0.26813839E+03,  0.15921327E+03,  0.50083686E-10,  0.76738307E-05,  0.12995450E-05,  0.65247568E+00,  0.17177745E+01,  0.81673259E+00,  0.68091964E+00,  0.48799346E+01,  0.49721459E+02,  0.35633789E+03,  0.32450989E-03,  0.23256592E-02,  0.13275147E+02,  0.13942294E+02,  0.95138759E+02,  0.11369923E+04,  0.12698682E+04,  0.81484625E+04,  0.73653180E-02, -0.10165245E+04,  0.52784893E-01, -0.89600706E+07, -0.66015742E+07, -0.20295638E+10,  0.37251634E+09,  0.27201530E+11,  0.17753231E+06,  0.19964641E-03,  0.26630660E-03,  0.74968628E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14794608E+01,  0.10899913E+01,  0.43229229E-01,  0.10434800E+03,  0.21365701E+03,  0.15846816E+03,  0.47401755E-10,  0.93462824E-05,  0.12698430E-05,  0.65217508E+00,  0.93190649E+00,  0.72697139E+00,  0.69054545E+00,  0.49489197E+01,  0.52534637E+02,  0.37649904E+03,  0.26644112E-03,  0.19094988E-02,  0.13472415E+02,  0.13820595E+02,  0.96552514E+02,  0.11954814E+04,  0.13018125E+04,  0.85676348E+04,  0.62107964E-02, -0.11084965E+04,  0.44510803E-01, -0.70952616E+07, -0.67542082E+07, -0.24483678E+09,  0.37778241E+09,  0.28740558E+11,  0.14576415E+06,  0.69903552E-04,  0.13209442E-03,  0.52919383E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.19539942E+01,  0.15338332E+01,  0.44435066E-01,  0.10437925E+03,  0.29944874E+03,  0.15855854E+03,  0.51685483E-10,  0.22400212E-04,  0.13141274E-05,  0.65237032E+00,  0.12644706E+01,  0.72799471E+00,  0.68554448E+00,  0.49130793E+01,  0.48180529E+02,  0.34529454E+03,  0.11117011E-03,  0.79672082E-03,  0.13306022E+02,  0.14079354E+02,  0.95360033E+02,  0.11058331E+04,  0.12515851E+04,  0.79251544E+04,  0.21655129E-02, -0.96520350E+03,  0.15519542E-01, -0.49461695E+09, -0.65265418E+07, -0.97914407E+12,  0.37504649E+09,  0.26358521E+11,  0.60818751E+05,  0.47225268E-03,  0.92659429E-04,  0.50966501E+01, -0.29000000E+00, -0.29000000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18887909E+02,  0.51849838E+01,  0.57337514E-01,  0.10434788E+03,  0.28956941E+03,  0.15914142E+03,  0.48217400E-10,  0.15743073E-04,  0.13062090E-05,  0.65299709E+00,  0.18678701E+01,  0.91187344E+00,  0.68751479E+00,  0.49271999E+01,  0.51645961E+02,  0.37013018E+03,  0.15817966E-03,  0.11336233E-02,  0.13416389E+02,  0.13829269E+02,  0.96150991E+02,  0.11757482E+04,  0.12918879E+04,  0.84262132E+04,  0.34430303E-02, -0.10795903E+04,  0.24675104E-01, -0.25119321E+08, -0.66891542E+07, -0.18038289E+11,  0.37612440E+09,  0.28254383E+11,  0.86536654E+05,  0.73222319E-03,  0.14550383E-02,  0.50323293E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.33574685E+01,  0.15958288E+01,  0.50223080E-01,  0.10435106E+03,  0.16500602E+03,  0.15833878E+03,  0.47101255E-10,  0.94258197E-05,  0.12645829E-05,  0.65261568E+00,  0.10818505E+01,  0.75240451E+00,  0.69243340E+00,  0.49624500E+01,  0.52869801E+02,  0.37890105E+03,  0.26419283E-03,  0.18933860E-02,  0.13515752E+02,  0.13818809E+02,  0.96863095E+02,  0.12038502E+04,  0.13054538E+04,  0.86276118E+04,  0.61605390E-02, -0.11192037E+04,  0.44150624E-01, -0.70073580E+07, -0.67736257E+07, -0.80418354E+08,  0.37881527E+09,  0.28923919E+11,  0.14453416E+06,  0.14825781E-03,  0.11597176E-02,  0.12783958E+00, -0.78461538E+00, -0.78461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18092107E+01,  0.14787385E+01,  0.42988062E-01,  0.10439973E+03,  0.16000000E+03,  0.15839832E+03,  0.47415104E-10,  0.91174709E-05,  0.12700918E-05,  0.65254927E+00,  0.10049601E+01,  0.73175759E+00,  0.68985088E+00,  0.49439420E+01,  0.52519846E+02,  0.37639304E+03,  0.27312771E-03,  0.19574195E-02,  0.13452057E+02,  0.13834403E+02,  0.96406617E+02,  0.11951130E+04,  0.13016314E+04,  0.85649952E+04,  0.63656454E-02, -0.11079862E+04,  0.45620557E-01, -0.69823507E+07, -0.67291577E+07, -0.55841494E+08,  0.37740243E+09,  0.28732467E+11,  0.14942224E+06,  0.90340525E-04,  0.11770135E-03,  0.76754029E+00, -0.55461538E+00, -0.55461538E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18162600E+01,  0.14956111E+01,  0.44073315E-01,  0.10434785E+03,  0.16000000E+03,  0.15833814E+03,  0.47239196E-10,  0.92352006E-05,  0.12671479E-05,  0.65217409E+00,  0.87506363E+00,  0.72583478E+00,  0.69086546E+00,  0.49512131E+01,  0.52715418E+02,  0.37779464E+03,  0.26964590E-03,  0.19324664E-02,  0.13478198E+02,  0.13820764E+02,  0.96593960E+02,  0.11999952E+04,  0.13037766E+04,  0.85999841E+04,  0.62848509E-02, -0.11142751E+04,  0.45041528E-01, -0.70027906E+07, -0.67513672E+07, -0.41597580E+08,  0.37795748E+09,  0.28839460E+11,  0.14751741E+06,  0.99129948E-05,  0.20869566E-04,  0.47499766E+00, -0.91818182E+00, -0.91818182E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18464454E+01,  0.15115078E+01,  0.44435066E-01,  0.10437189E+03,  0.16000000E+03,  0.15832329E+03,  0.47208238E-10,  0.92209553E-05,  0.12667387E-05,  0.65232433E+00,  0.87164978E+00,  0.72684387E+00,  0.69098478E+00,  0.49520683E+01,  0.52749988E+02,  0.37804239E+03,  0.27006247E-03,  0.19354519E-02,  0.13480367E+02,  0.13821644E+02,  0.96609505E+02,  0.12008584E+04,  0.13041549E+04,  0.86061702E+04,  0.62946280E-02, -0.11153853E+04,  0.45111597E-01, -0.70051315E+07, -0.67525851E+07, -0.36677606E+08,  0.37802276E+09,  0.28858372E+11,  0.14774531E+06,  0.21958793E-05,  0.37842070E-05,  0.58027464E+00, -0.55461538E+00, -0.55461538E+00,
