gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.70723810E+00, -0.70723810E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359974E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382696E+00,  0.49007704E+01,  0.49448674E+02,  0.35438293E+03,  0.32173055E-03,  0.23057406E-02,  0.13300833E+02,  0.14114783E+02,  0.95322840E+02,  0.11314690E+04,  0.12666374E+04,  0.81088786E+04,  0.73021964E-02, -0.10074254E+04,  0.52332520E-01, -0.66089726E+07, -0.66089726E+07, -0.66089729E+07,  0.37410687E+09,  0.27052295E+11,  0.17601179E+06,  0.26630660E-03,  0.40639691E-10,  0.65528698E+07, -0.55569405E+00, -0.55569405E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.10433150E+01,  0.33220789E-01,  0.10442390E+03,  0.16000000E+03,  0.15894805E+03,  0.49524009E-10,  0.79691329E-05,  0.12865665E-05,  0.65265434E+00,  0.84949348E+00,  0.72430493E+00,  0.68336143E+00,  0.48974341E+01,  0.50283368E+02,  0.36036491E+03,  0.31248493E-03,  0.22394802E-02,  0.13309777E+02,  0.13968366E+02,  0.95386940E+02,  0.11483314E+04,  0.12764004E+04,  0.82297261E+04,  0.72866056E-02, -0.10350924E+04,  0.52220786E-01, -0.67842884E+07, -0.66412858E+07, -0.29311691E+08,  0.37385219E+09,  0.27508938E+11,  0.17095372E+06,  0.11336873E-03,  0.26630660E-03,  0.42570755E+00, -0.64821429E+00, -0.64821429E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14263598E+01,  0.11694014E+01,  0.40274931E-01,  0.10435018E+03,  0.16000000E+03,  0.15851569E+03,  0.47524910E-10,  0.93621529E-05,  0.12717825E-05,  0.65218955E+00,  0.90148300E+00,  0.72481400E+00,  0.68998020E+00,  0.49448688E+01,  0.52398500E+02,  0.37552339E+03,  0.26598946E-03,  0.19062619E-02,  0.13452087E+02,  0.13848450E+02,  0.96406833E+02,  0.11920844E+04,  0.13002933E+04,  0.85432900E+04,  0.61974208E-02, -0.11040752E+04,  0.44414945E-01, -0.69754492E+07, -0.67471711E+07, -0.38356156E+08,  0.37747318E+09,  0.28666081E+11,  0.14551705E+06,  0.31453921E-04,  0.72498179E-04,  0.43385808E+00, -0.64250000E+00, -0.64250000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18100358E+01,  0.14797150E+01,  0.43651272E-01,  0.10435256E+03,  0.16000000E+03,  0.15835972E+03,  0.47281508E-10,  0.91731572E-05,  0.12673183E-05,  0.65220383E+00,  0.86537802E+00,  0.72600600E+00,  0.69078099E+00,  0.49506078E+01,  0.52668243E+02,  0.37745656E+03,  0.27146967E-03,  0.19455368E-02,  0.13474028E+02,  0.13830958E+02,  0.96564076E+02,  0.11988177E+04,  0.13032596E+04,  0.85915453E+04,  0.63279848E-02, -0.11127584E+04,  0.45350656E-01, -0.70005891E+07, -0.67524771E+07, -0.36592852E+08,  0.37791127E+09,  0.28813652E+11,  0.14851516E+06,  0.93272032E-05,  0.25315093E-04,  0.36844436E+00, -0.66542857E+00, -0.66542857E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18388206E+01,  0.15069533E+01,  0.44435066E-01,  0.10436135E+03,  0.16000000E+03,  0.15833395E+03,  0.47217505E-10,  0.92388754E-05,  0.12668097E-05,  0.65225850E+00,  0.87272381E+00,  0.72732003E+00,  0.69099823E+00,  0.49521646E+01,  0.52739635E+02,  0.37796819E+03,  0.26953865E-03,  0.19316978E-02,  0.13479714E+02,  0.13825012E+02,  0.96604823E+02,  0.12005999E+04,  0.13040408E+04,  0.86043180E+04,  0.62820574E-02, -0.11150508E+04,  0.45021509E-01, -0.70069175E+07, -0.67541486E+07, -0.36924891E+08,  0.37803012E+09,  0.28852708E+11,  0.14745874E+06,  0.20990922E-05,  0.35570366E-05,  0.59012388E+00, -0.56861905E+00, -0.56861905E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18529206E+01,  0.15159877E+01,  0.44435066E-01,  0.10437841E+03,  0.16000000E+03,  0.15832420E+03,  0.49251567E-10,  0.75711231E-05,  0.12664038E-05,  0.65236514E+00,  0.87340269E+00,  0.72674789E+00,  0.68565951E+00,  0.49139037E+01,  0.50561517E+02,  0.36235832E+03,  0.32891209E-03,  0.23572084E-02,  0.13352878E+02,  0.13997897E+02,  0.95695833E+02,  0.11539398E+04,  0.12796078E+04,  0.82699200E+04,  0.74653237E-02, -0.10442501E+04,  0.53501602E-01, -0.69001401E+07, -0.66507279E+07, -0.36137352E+08,  0.37510942E+09,  0.27661107E+11,  0.17994066E+06,  0.18738718E-03,  0.11686171E-05,  0.16034951E+03, -0.65209524E+00, -0.65209524E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17501303E+01,  0.91076353E+00,  0.55408176E-01,  0.10434911E+03,  0.18603910E+03,  0.15819479E+03,  0.51029181E-10,  0.78485654E-05,  0.12643557E-05,  0.65224353E+00,  0.10540289E+01,  0.75017537E+00,  0.68734560E+00,  0.49259874E+01,  0.48800194E+02,  0.34973548E+03,  0.31728524E-03,  0.22738824E-02,  0.13335175E+02,  0.14167716E+02,  0.95568961E+02,  0.11183495E+04,  0.12589427E+04,  0.80148550E+04,  0.72012238E-02, -0.98580347E+03,  0.51608882E-01, -0.72432313E+07, -0.65734413E+07, -0.12208646E+09,  0.37603184E+09,  0.26697526E+11,  0.17357986E+06,  0.75806769E-04,  0.18738718E-03,  0.40454618E+00, -0.62383333E+00, -0.62383333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14901099E+01,  0.86725811E+00,  0.59568311E-01,  0.10435202E+03,  0.18568456E+03,  0.15810443E+03,  0.50771554E-10,  0.77994601E-05,  0.12611483E-05,  0.65234688E+00,  0.11460096E+01,  0.75687405E+00,  0.68634031E+00,  0.49187828E+01,  0.49047818E+02,  0.35151012E+03,  0.31928286E-03,  0.22881988E-02,  0.13337806E+02,  0.14225928E+02,  0.95587815E+02,  0.11233645E+04,  0.12619002E+04,  0.80507961E+04,  0.72465849E-02, -0.99408471E+03,  0.51933970E-01, -0.73908464E+07, -0.65890415E+07, -0.12141785E+09,  0.37548187E+09,  0.26832996E+11,  0.17467272E+06,  0.39755561E-04,  0.75806769E-04,  0.52443286E+00, -0.64233333E+00, -0.64233333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14789960E+01,  0.85662646E+00,  0.62040275E-01,  0.10434783E+03,  0.18216851E+03,  0.15787834E+03,  0.50559179E-10,  0.77715717E-05,  0.12550212E-05,  0.65262910E+00,  0.10241210E+01,  0.75097624E+00,  0.68763377E+00,  0.49280526E+01,  0.49253845E+02,  0.35298665E+03,  0.32042862E-03,  0.22964100E-02,  0.13355157E+02,  0.14176614E+02,  0.95712167E+02,  0.11275331E+04,  0.12643457E+04,  0.80806714E+04,  0.72726124E-02, -0.10009552E+04,  0.52120501E-01, -0.73639730E+07, -0.65997408E+07, -0.11257399E+09,  0.37618950E+09,  0.26945709E+11,  0.17529953E+06,  0.50247744E-05,  0.14267975E-04,  0.35217151E+00, -0.70169048E+00, -0.70169048E+00,
