gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10,  0.99218030E+00,  0.99218030E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359996E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382675E+00,  0.49007689E+01,  0.49448653E+02,  0.35438278E+03,  0.32173055E-03,  0.23057406E-02,  0.13300829E+02,  0.14114776E+02,  0.95322809E+02,  0.11314684E+04,  0.12666369E+04,  0.81088745E+04,  0.73021964E-02, -0.10074258E+04,  0.52332520E-01, -0.66089726E+07, -0.66089726E+07, -0.66089730E+07,  0.37410676E+09,  0.27052284E+11,  0.17601179E+06,  0.26630660E-03,  0.40639691E-10,  0.65528698E+07, -0.22967313E+02, -0.22967313E+02,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.10048794E+01,  0.38948511E-01,  0.10435212E+03,  0.16000000E+03,  0.15858124E+03,  0.47598961E-10,  0.93642247E-05,  0.12749685E-05,  0.65292410E+00,  0.95210155E+00,  0.72752117E+00,  0.68914504E+00,  0.49388834E+01,  0.52316981E+02,  0.37493917E+03,  0.26593061E-03,  0.19058401E-02,  0.13441998E+02,  0.13831167E+02,  0.96334527E+02,  0.11900493E+04,  0.12993982E+04,  0.85287049E+04,  0.61965150E-02, -0.11014556E+04,  0.44408453E-01, -0.69733925E+07, -0.67425780E+07, -0.43416383E+08,  0.37701628E+09,  0.28621484E+11,  0.14548486E+06,  0.49684329E-04,  0.19696241E-03,  0.25225285E+00,  0.77756211E+00,  0.77756211E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.19484353E+01,  0.14822983E+01,  0.43229229E-01,  0.10434836E+03,  0.16000000E+03,  0.15840067E+03,  0.47483891E-10,  0.90677235E-05,  0.12689241E-05,  0.65217771E+00,  0.85341445E+00,  0.72401202E+00,  0.69013467E+00,  0.49459758E+01,  0.52443763E+02,  0.37584778E+03,  0.27462614E-03,  0.19681583E-02,  0.13458246E+02,  0.13844347E+02,  0.96450969E+02,  0.11932145E+04,  0.13007885E+04,  0.85513887E+04,  0.64013937E-02, -0.11055278E+04,  0.45876754E-01, -0.69957460E+07, -0.67439993E+07, -0.41837144E+08,  0.37755768E+09,  0.28690844E+11,  0.15024200E+06,  0.21967224E-04,  0.49684329E-04,  0.44213587E+00,  0.77793886E+00,  0.77793886E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17620881E+01,  0.14903715E+01,  0.44435066E-01,  0.10434873E+03,  0.16000000E+03,  0.15833919E+03,  0.47201391E-10,  0.92820036E-05,  0.12672172E-05,  0.65217962E+00,  0.88963532E+00,  0.72750618E+00,  0.69097883E+00,  0.49520256E+01,  0.52757639E+02,  0.37809723E+03,  0.26828625E-03,  0.19227223E-02,  0.13480206E+02,  0.13820902E+02,  0.96608352E+02,  0.12010493E+04,  0.13042401E+04,  0.86075384E+04,  0.62526960E-02, -0.11156331E+04,  0.44811084E-01, -0.70114398E+07, -0.67544974E+07, -0.37187902E+08,  0.37801951E+09,  0.28862558E+11,  0.14677358E+06,  0.95003415E-05,  0.21967224E-04,  0.43247802E+00,  0.77907371E+00,  0.77907371E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18791587E+01,  0.15212287E+01,  0.44435066E-01,  0.10437876E+03,  0.16000000E+03,  0.15832061E+03,  0.47207316E-10,  0.92214632E-05,  0.12665432E-05,  0.65236772E+00,  0.86853387E+00,  0.72630056E+00,  0.69102389E+00,  0.49523486E+01,  0.52751018E+02,  0.37804978E+03,  0.27004760E-03,  0.19353453E-02,  0.13480995E+02,  0.13822583E+02,  0.96614006E+02,  0.12008842E+04,  0.13041650E+04,  0.86063550E+04,  0.62942374E-02, -0.11154159E+04,  0.45108799E-01, -0.70049182E+07, -0.67529377E+07, -0.38039802E+08,  0.37804416E+09,  0.28858936E+11,  0.14773717E+06,  0.46082017E-05,  0.95003415E-05,  0.48505643E+00,  0.77945083E+00,  0.77945083E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18566171E+01,  0.15224870E+01,  0.44435066E-01,  0.10436582E+03,  0.16000000E+03,  0.15832125E+03,  0.47197708E-10,  0.92211249E-05,  0.12666272E-05,  0.65229482E+00,  0.87475571E+00,  0.72664941E+00,  0.69101793E+00,  0.49523058E+01,  0.52761757E+02,  0.37812674E+03,  0.27005750E-03,  0.19354163E-02,  0.13481341E+02,  0.13820410E+02,  0.96616483E+02,  0.12011522E+04,  0.13042828E+04,  0.86082761E+04,  0.62945335E-02, -0.11157612E+04,  0.45110921E-01, -0.70077960E+07, -0.67533675E+07, -0.36890430E+08,  0.37804090E+09,  0.28864811E+11,  0.14774259E+06,  0.31074753E-05,  0.46082017E-05,  0.67433577E+00,  0.77950908E+00,  0.77950908E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18513666E+01,  0.15150698E+01,  0.44435066E-01,  0.10438015E+03,  0.16000000E+03,  0.15831967E+03,  0.49250309E-10,  0.75716579E-05,  0.12663537E-05,  0.65237594E+00,  0.87262954E+00,  0.72664517E+00,  0.68565172E+00,  0.49138479E+01,  0.50562809E+02,  0.36236758E+03,  0.32888886E-03,  0.23570419E-02,  0.13352642E+02,  0.13997966E+02,  0.95694139E+02,  0.11539658E+04,  0.12796226E+04,  0.82701061E+04,  0.74647959E-02, -0.10442924E+04,  0.53497819E-01, -0.68993491E+07, -0.66503137E+07, -0.36650569E+08,  0.37510516E+09,  0.27661814E+11,  0.17992795E+06,  0.18737682E-03,  0.31074753E-05,  0.60298731E+02,  0.76079637E+00,  0.76079637E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18521250E+01,  0.90679850E+00,  0.57699264E-01,  0.10436028E+03,  0.20107654E+03,  0.15823673E+03,  0.51157732E-10,  0.78676819E-05,  0.12648683E-05,  0.65248553E+00,  0.11366387E+01,  0.75545552E+00,  0.68866232E+00,  0.49354239E+01,  0.48677568E+02,  0.34885666E+03,  0.31651432E-03,  0.22683575E-02,  0.13336126E+02,  0.14140667E+02,  0.95575779E+02,  0.11158651E+04,  0.12574730E+04,  0.79970506E+04,  0.71837118E-02, -0.98169739E+03,  0.51483379E-01, -0.73894038E+07, -0.65699310E+07, -0.17286277E+09,  0.37675219E+09,  0.26630440E+11,  0.17315811E+06,  0.66230446E-04,  0.18737682E-03,  0.35346126E+00,  0.76425735E+00,  0.76425735E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14956751E+01,  0.85836328E+00,  0.60593271E-01,  0.10436492E+03,  0.17305603E+03,  0.15800878E+03,  0.50669064E-10,  0.77870804E-05,  0.12589702E-05,  0.65273879E+00,  0.11188873E+01,  0.75515436E+00,  0.68627396E+00,  0.49183073E+01,  0.49147029E+02,  0.35222113E+03,  0.31979045E-03,  0.22918365E-02,  0.13335308E+02,  0.14231716E+02,  0.95569912E+02,  0.11253719E+04,  0.12630789E+04,  0.80651830E+04,  0.72581164E-02, -0.99739382E+03,  0.52016613E-01, -0.73605716E+07, -0.65944298E+07, -0.92560175E+08,  0.37544557E+09,  0.26887272E+11,  0.17495041E+06,  0.34527385E-04,  0.66230446E-04,  0.52132194E+00,  0.76063197E+00,  0.76063197E+00,
