time_step, outer_nonlinear_iteration, Inner_non_linear_iterations,
       1,        1,        1,
       1,        2,       10,
       1,        3,        1,
       1,        4,        1,
       1,        5,        1,
       1,        6,        1,
       1,        7,        1,
       2,        1,        1,
       2,        2,        1,
       2,        3,        1,
       2,        4,        1,
       2,        5,        1,
       2,        6,        1,
       2,        7,        1,
       2,        8,        1,
       2,        9,        1,
       2,       10,        1,
       2,       11,        1,
       2,       12,        1,
       2,       13,        1,
       2,       14,        1,
       2,       15,        1,
       2,       16,        1,
       2,       17,        1,
       2,       18,        1,
       2,       19,        1,
       2,       20,        1,
       2,       21,        1,
       2,       22,        1,
       2,       23,        1,
       2,       24,        1,
       2,       25,        1,
       2,       26,        1,
       2,       27,        1,
       2,       28,        1,
       2,       29,        1,
       2,       30,        1,
       3,        1,        1,
       3,        2,        1,
       3,        3,        1,
       3,        4,        1,
       3,        5,        1,
       3,        6,        1,
       3,        7,        1,
       3,        8,        1,
       3,        9,        1,
       3,       10,        1,
       3,       11,        1,
       3,       12,        1,
       3,       13,        1,
       3,       14,        1,
       3,       15,        1,
       3,       16,        1,
       3,       17,        1,
       3,       18,        1,
       3,       19,        1,
       3,       20,        1,
       3,       21,        1,
       3,       22,        1,
       3,       23,        1,
       3,       24,        1,
       3,       25,        1,
       3,       26,        1,
       3,       27,        1,
       3,       28,        1,
       3,       29,        1,
       3,       30,        1,
       4,        1,        1,
       4,        2,        1,
       4,        3,        1,
       4,        4,        1,
       4,        5,        1,
       4,        6,        1,
       4,        7,        1,
       4,        8,        1,
       4,        9,        1,
       4,       10,        1,
       4,       11,        1,
       4,       12,        1,
       4,       13,        1,
       4,       14,        1,
       4,       15,        1,
       4,       16,        1,
       4,       17,        1,
       4,       18,        1,
       4,       19,        1,
       4,       20,        1,
       4,       21,        1,
       4,       22,        1,
       4,       23,        1,
       4,       24,        1,
       4,       25,        1,
       4,       26,        1,
       4,       27,        1,
       4,       28,        1,
       4,       29,        1,
       4,       30,        1,
       5,        1,        1,
       5,        2,        1,
       5,        3,        1,
       5,        4,        1,
       5,        5,        1,
       5,        6,        1,
       5,        7,        1,
       5,        8,        1,
       5,        9,        1,
       5,       10,        1,
       5,       11,        1,
       5,       12,        1,
       5,       13,        1,
       5,       14,        1,
       5,       15,        1,
       5,       16,        1,
       5,       17,        1,
       5,       18,        1,
       5,       19,        1,
       5,       20,        1,
       5,       21,        1,
       5,       22,        1,
       5,       23,        1,
       5,       24,        1,
       5,       25,        1,
       5,       26,        1,
       5,       27,        1,
       5,       28,        1,
       5,       29,        1,
       5,       30,        1,
       6,        1,        1,
       6,        2,        1,
       6,        3,        1,
       6,        4,        1,
       6,        5,        1,
       6,        6,        1,
       6,        7,        1,
       6,        8,        1,
       6,        9,        1,
       6,       10,        1,
       6,       11,        1,
       6,       12,        1,
       6,       13,        1,
       6,       14,        1,
       6,       15,        1,
       6,       16,        1,
       6,       17,        1,
       6,       18,        1,
       6,       19,        1,
       6,       20,        1,
       6,       21,        1,
       6,       22,        1,
       6,       23,        1,
       6,       24,        1,
       6,       25,        1,
       6,       26,        1,
       6,       27,        1,
       6,       28,        1,
       6,       29,        1,
       6,       30,        1,
       7,        1,        1,
       7,        2,        1,
       7,        3,        1,
       7,        4,        1,
       7,        5,        1,
       7,        6,        1,
       7,        7,        1,
       7,        8,        1,
       7,        9,        1,
       7,       10,        1,
       7,       11,        1,
       7,       12,        1,
       7,       13,        1,
       7,       14,        1,
       7,       15,        1,
       7,       16,        1,
       7,       17,        1,
       7,       18,        1,
       7,       19,        1,
       7,       20,        1,
       7,       21,        1,
       7,       22,        1,
       7,       23,        1,
       7,       24,        1,
       7,       25,        1,
       7,       26,        1,
       7,       27,        1,
       7,       28,        1,
       7,       29,        1,
       7,       30,        1,
       8,        1,        1,
       8,        2,        1,
       8,        3,        1,
       8,        4,        1,
       8,        5,        1,
       8,        6,        1,
       8,        7,        1,
       8,        8,        1,
       8,        9,        1,
       8,       10,        1,
       8,       11,        1,
       8,       12,        1,
       8,       13,        1,
       8,       14,        1,
       8,       15,        1,
       8,       16,        1,
       8,       17,        1,
       8,       18,        1,
       8,       19,        1,
       8,       20,        1,
       8,       21,        1,
       8,       22,        1,
       8,       23,        1,
       8,       24,        1,
       8,       25,        1,
       8,       26,        1,
       8,       27,        1,
       8,       28,        1,
       8,       29,        1,
       8,       30,        1,
       9,        1,        1,
       9,        2,        1,
       9,        3,        1,
       9,        4,        1,
       9,        5,        1,
       9,        6,        1,
       9,        7,        1,
      10,        1,        1,
      10,        2,        1,
      10,        3,        1,
      10,        4,        1,
      10,        5,        1,
      11,        1,        1,
      11,        2,        1,
      11,        3,        1,
      11,        4,        1,
      11,        5,        1,
      12,        1,        1,
      12,        2,        1,
      12,        3,        1,
      12,        4,        1,
      12,        5,        1,
      13,        1,        1,
      13,        2,        1,
      13,        3,        1,
      13,        4,        1,
      14,        1,        1,
      14,        2,        1,
      14,        3,        1,
      14,        4,        1,
      15,        1,        1,
      15,        2,        1,
      15,        3,        1,
      15,        4,        1,
      16,        1,        1,
      16,        2,        1,
      16,        3,        1,
      16,        4,        1,
      16,        5,        1,
      17,        1,        1,
      17,        2,        1,
      17,        3,        1,
      17,        4,        1,
      18,        1,        1,
      18,        2,        1,
      18,        3,        1,
      18,        4,        1,
      19,        1,        1,
      19,        2,        1,
      19,        3,        1,
      19,        4,        1,
      19,        5,        1,
      20,        1,        1,
      20,        2,        1,
      20,        3,        1,
      20,        4,        1,
      20,        5,        1,
      20,        6,        1,
      21,        1,        1,
      21,        2,        1,
      21,        3,        1,
      21,        4,        1,
      21,        5,        1,
      21,        6,        1,
      22,        1,        1,
      22,        2,        1,
      22,        3,        1,
      22,        4,        1,
      22,        5,        1,
      22,        6,        1,
      23,        1,        1,
      23,        2,        1,
      23,        3,        1,
      23,        4,        1,
      24,        1,        1,
      24,        2,        1,
      24,        3,        1,
      24,        4,        1,
      25,        1,        1,
      25,        2,        1,
      25,        3,        1,
      25,        4,        1,
      25,        5,        1,
      25,        6,        1,
      25,        7,        1,
      25,        8,        1,
      25,        9,        1,
      25,       10,        1,
      25,       11,        1,
      25,       12,        1,
      25,       13,        1,
      25,       14,        1,
      25,       15,        1,
      25,       16,        1,
      25,       17,        1,
      25,       18,        1,
      25,       19,        1,
      25,       20,        1,
      25,       21,        1,
      25,       22,        1,
      25,       23,        1,
      25,       24,        1,
      25,       25,        1,
      25,       26,        1,
      25,       27,        1,
      25,       28,        1,
      25,       29,        1,
      25,       30,        1,
      26,        1,        1,
      26,        2,        1,
      26,        3,        1,
      26,        4,        1,
      26,        5,        1,
      26,        6,        1,
      26,        7,        1,
      27,        1,        1,
      27,        2,        1,
      27,        3,        1,
      27,        4,        1,
      27,        5,        1,
      28,        1,        1,
      28,        2,        1,
      28,        3,        1,
      28,        4,        1,
      28,        5,        1,
      28,        6,        1,
      29,        1,        1,
      29,        2,        1,
      29,        3,        1,
      29,        4,        1,
      29,        5,        1,
      30,        1,        1,
      30,        2,        1,
      30,        3,        1,
      30,        4,        1,
      31,        1,        1,
      31,        2,        1,
      31,        3,        1,
      31,        4,        1,
      31,        5,        1,
      32,        1,        1,
      32,        2,        1,
      32,        3,        1,
      32,        4,        1,
      33,        1,        1,
      33,        2,        1,
      33,        3,        1,
      33,        4,        1,
      34,        1,        1,
      34,        2,        1,
      34,        3,        1,
      34,        4,        1,
      35,        1,        1,
      35,        2,        1,
      35,        3,        1,
      35,        4,        1,
      36,        1,        1,
      36,        2,        1,
      36,        3,        1,
      36,        4,        1,
      37,        1,        1,
      37,        2,        1,
      37,        3,        1,
      37,        4,        1,
      38,        1,        1,
      38,        2,        1,
      38,        3,        1,
      38,        4,        1,
      39,        1,        1,
      39,        2,        1,
      39,        3,        1,
      39,        4,        1,
      40,        1,        1,
      40,        2,        1,
      40,        3,        1,
      40,        4,        1,
      41,        1,        1,
      41,        2,        1,
      41,        3,        1,
      41,        4,        1,
      42,        1,        1,
      42,        2,        1,
      42,        3,        1,
      42,        4,        1,
      43,        1,        1,
      43,        2,        1,
      43,        3,        1,
      43,        4,        1,
      44,        1,        1,
      44,        2,        1,
      44,        3,        1,
      44,        4,        1,
      45,        1,        1,
      45,        2,        1,
      45,        3,        1,
      45,        4,        1,
      46,        1,        1,
      46,        2,        1,
      46,        3,        1,
      46,        4,        1,
      47,        1,        1,
      47,        2,        1,
      47,        3,        1,
      47,        4,        1,
      48,        1,        1,
      48,        2,        1,
      48,        3,        1,
      48,        4,        1,
      49,        1,        1,
      49,        2,        1,
      49,        3,        1,
      49,        4,        1,
      50,        1,        1,
      50,        2,        1,
      50,        3,        1,
      50,        4,        1,
      51,        1,        1,
      51,        2,        1,
      51,        3,        1,
      51,        4,        1,
      52,        1,        1,
      52,        2,        1,
      52,        3,        1,
      52,        4,        1,
      53,        1,        1,
      53,        2,        1,
      53,        3,        1,
      53,        4,        1,
      54,        1,        1,
      54,        2,        1,
      54,        3,        1,
      54,        4,        1,
      55,        1,        1,
      55,        2,        1,
      55,        3,        1,
      55,        4,        1,
      56,        1,        1,
      56,        2,        1,
      56,        3,        1,
      56,        4,        1,
      57,        1,        1,
      57,        2,        1,
      57,        3,        1,
      57,        4,        1,
      58,        1,        1,
      58,        2,        1,
      58,        3,        1,
      58,        4,        1,
      59,        1,        1,
