gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.40759980E+00, -0.40759980E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50359952E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382717E+00,  0.49007720E+01,  0.49448696E+02,  0.35438309E+03,  0.32173055E-03,  0.23057406E-02,  0.13300837E+02,  0.14114790E+02,  0.95322872E+02,  0.11314696E+04,  0.12666378E+04,  0.81088829E+04,  0.73021964E-02, -0.10074249E+04,  0.52332520E-01, -0.66089727E+07, -0.66089727E+07, -0.66089728E+07,  0.37410699E+09,  0.27052308E+11,  0.17601179E+06,  0.26630661E-03,  0.40639691E-10,  0.65528698E+07, -0.30272550E+02, -0.30272550E+02,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.12588992E+01,  0.37200048E-01,  0.10435590E+03,  0.26813839E+03,  0.15921327E+03,  0.50083682E-10,  0.76738307E-05,  0.12995450E-05,  0.65247568E+00,  0.17177745E+01,  0.81673259E+00,  0.68091965E+00,  0.48799346E+01,  0.49721463E+02,  0.35633792E+03,  0.32450989E-03,  0.23256592E-02,  0.13275147E+02,  0.13942294E+02,  0.95138760E+02,  0.11369924E+04,  0.12698683E+04,  0.81484627E+04,  0.73653180E-02, -0.10165245E+04,  0.52784893E-01, -0.89600707E+07, -0.66015742E+07, -0.20295639E+10,  0.37251635E+09,  0.27201532E+11,  0.17753231E+06,  0.19964641E-03,  0.26630661E-03,  0.74968628E+00, -0.49759004E+00, -0.49759004E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14646782E+01,  0.10979660E+01,  0.42324852E-01,  0.10435004E+03,  0.20494731E+03,  0.15847828E+03,  0.47438733E-10,  0.94586042E-05,  0.12703814E-05,  0.65219023E+00,  0.12494235E+01,  0.72601729E+00,  0.69042308E+00,  0.49480427E+01,  0.52493686E+02,  0.37620556E+03,  0.26327711E-03,  0.18868233E-02,  0.13470855E+02,  0.13822068E+02,  0.96541334E+02,  0.11944608E+04,  0.13013348E+04,  0.85603209E+04,  0.61368186E-02, -0.11071300E+04,  0.43980628E-01, -0.70564370E+07, -0.67533724E+07, -0.19545276E+09,  0.37771547E+09,  0.28718155E+11,  0.14403319E+06,  0.64651282E-04,  0.15621485E-03,  0.41386132E+00, -0.48630193E+00, -0.48630193E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18583149E+01,  0.14829561E+01,  0.44435066E-01,  0.10435006E+03,  0.29940460E+03,  0.15858499E+03,  0.54844794E-10,  0.28044196E-04,  0.13769510E-05,  0.65218789E+00,  0.91023312E+00,  0.72557168E+00,  0.66372735E+00,  0.47567229E+01,  0.45405111E+02,  0.32540399E+03,  0.88796768E-04,  0.63637820E-03,  0.12951017E+02,  0.13353668E+02,  0.92815824E+02,  0.10435469E+04,  0.12132523E+04,  0.74787686E+04,  0.38170457E-03, -0.86120867E+03,  0.27355553E-02, -0.67394596E+09, -0.64963448E+07, -0.92136099E+12,  0.36311081E+09,  0.24840150E+11,  0.48578783E+05,  0.60432293E-03,  0.13637465E-03,  0.44313437E+01, -0.47296172E+00, -0.47296172E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.37416517E+02,  0.33700856E+02,  0.49559870E-01,  0.10434945E+03,  0.22903698E+03,  0.15847389E+03,  0.45522430E-10,  0.89871070E-05,  0.12694629E-05,  0.65227743E+00,  0.14550407E+01,  0.74150063E+00,  0.64731379E+00,  0.46390921E+01,  0.54703449E+02,  0.39204223E+03,  0.27708961E-03,  0.19858131E-02,  0.12448813E+02,  0.12128654E+02,  0.89216688E+02,  0.12694471E+04,  0.11901634E+04,  0.90977238E+04,  0.64609565E-02, -0.13461673E+04,  0.46303621E-01, -0.73257241E+07, -0.67470694E+07, -0.38153275E+09,  0.35413131E+09,  0.29927069E+11,  0.15158970E+06,  0.28547364E-03,  0.86716455E-03,  0.32920354E+00, -0.52897730E+00, -0.52897730E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.15724150E+01,  0.15724150E+01,  0.42566020E-01,  0.10435117E+03,  0.26382231E+03,  0.15860208E+03,  0.48275184E-10,  0.91166765E-05,  0.12749310E-05,  0.65240913E+00,  0.10422984E+01,  0.73875705E+00,  0.68121805E+00,  0.48820732E+01,  0.51584142E+02,  0.36968714E+03,  0.27315151E-03,  0.19575900E-02,  0.13299588E+02,  0.13300466E+02,  0.95313919E+02,  0.11909554E+04,  0.12866154E+04,  0.85351985E+04,  0.63687144E-02, -0.11508748E+04,  0.45642552E-01, -0.73669142E+07, -0.67160557E+07, -0.15928380E+10,  0.37267960E+09,  0.28220563E+11,  0.14943526E+06,  0.10831264E-03,  0.14309944E-03,  0.75690467E+00, -0.47733580E+00, -0.47733580E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.16634759E+01,  0.13960494E+01,  0.44013023E-01,  0.10434811E+03,  0.29501354E+03,  0.15844268E+03,  0.47513521E-10,  0.90643197E-05,  0.12723287E-05,  0.65269066E+00,  0.85548920E+00,  0.72629902E+00,  0.68921469E+00,  0.49393826E+01,  0.52411059E+02,  0.37561340E+03,  0.27472927E-03,  0.19688974E-02,  0.13425508E+02,  0.13858265E+02,  0.96216350E+02,  0.11923712E+04,  0.13003159E+04,  0.85453455E+04,  0.64024253E-02, -0.11051842E+04,  0.45884146E-01, -0.25559679E+08, -0.66969230E+07, -0.66777010E+11,  0.37705439E+09,  0.28672952E+11,  0.15029842E+06,  0.71191059E-04,  0.95952485E-04,  0.74194075E+00, -0.47299620E+00, -0.47299620E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.77358657E+01,  0.14865566E+01,  0.44193898E-01,  0.10434981E+03,  0.20077954E+03,  0.15839878E+03,  0.47295221E-10,  0.91820302E-05,  0.12685248E-05,  0.65223394E+00,  0.10344792E+01,  0.73269975E+00,  0.69042629E+00,  0.49480657E+01,  0.52652972E+02,  0.37734711E+03,  0.27120734E-03,  0.19436568E-02,  0.13463165E+02,  0.13834398E+02,  0.96486221E+02,  0.11984492E+04,  0.13030468E+04,  0.85889041E+04,  0.63215969E-02, -0.11123314E+04,  0.45304875E-01, -0.70362204E+07, -0.67361522E+07, -0.17596425E+09,  0.37771723E+09,  0.28805297E+11,  0.14837164E+06,  0.46373006E-04,  0.83331331E-04,  0.55648944E+00, -0.46957730E+00, -0.46957730E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18387204E+01,  0.15068034E+01,  0.44013023E-01,  0.10437557E+03,  0.16000000E+03,  0.15833614E+03,  0.47221946E-10,  0.92100799E-05,  0.12669235E-05,  0.65240097E+00,  0.87370246E+00,  0.72535501E+00,  0.69096474E+00,  0.49519246E+01,  0.52734675E+02,  0.37793265E+03,  0.27038136E-03,  0.19377373E-02,  0.13479704E+02,  0.13823199E+02,  0.96604751E+02,  0.12004781E+04,  0.13039830E+04,  0.86034451E+04,  0.63019411E-02, -0.11149324E+04,  0.45164009E-01, -0.70064477E+07, -0.67529302E+07, -0.45256307E+08,  0.37801180E+09,  0.28849995E+11,  0.14791977E+06,  0.11369111E-04,  0.13313859E-04,  0.85393054E+00, -0.45068850E+00, -0.45068850E+00,
