gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.60900000E+00, -0.60900000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359967E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382703E+00,  0.49007709E+01,  0.49448681E+02,  0.35438298E+03,  0.32173055E-03,  0.23057406E-02,  0.13300834E+02,  0.14114785E+02,  0.95322850E+02,  0.11314692E+04,  0.12666375E+04,  0.81088800E+04,  0.73021964E-02, -0.10074252E+04,  0.52332520E-01, -0.66089727E+07, -0.66089726E+07, -0.66089728E+07,  0.37410691E+09,  0.27052299E+11,  0.17601179E+06,  0.26630661E-03,  0.40639691E-10,  0.65528698E+07, -0.50913095E+00, -0.50913095E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.10434884E+01,  0.32678162E-01,  0.10434792E+03,  0.16000000E+03,  0.15897716E+03,  0.49550250E-10,  0.79612291E-05,  0.12864421E-05,  0.65235989E+00,  0.84372180E+00,  0.72871769E+00,  0.68348164E+00,  0.48982956E+01,  0.50256738E+02,  0.36017406E+03,  0.31279516E-03,  0.22417035E-02,  0.13310810E+02,  0.13976068E+02,  0.95394345E+02,  0.11477940E+04,  0.12760917E+04,  0.82258746E+04,  0.72938907E-02, -0.10342130E+04,  0.52272996E-01, -0.67622647E+07, -0.66411235E+07, -0.24569245E+08,  0.37391795E+09,  0.27494370E+11,  0.17112344E+06,  0.12234189E-03,  0.26630661E-03,  0.45940237E+00, -0.61473520E+00, -0.61473520E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14274065E+01,  0.11643664E+01,  0.39852888E-01,  0.10436427E+03,  0.16000000E+03,  0.15853958E+03,  0.47599946E-10,  0.93491823E-05,  0.12726957E-05,  0.65238607E+00,  0.89346883E+00,  0.72533549E+00,  0.68968298E+00,  0.49427387E+01,  0.52315899E+02,  0.37493142E+03,  0.26635848E-03,  0.19089065E-02,  0.13445364E+02,  0.13852805E+02,  0.96358650E+02,  0.11900228E+04,  0.12993808E+04,  0.85285148E+04,  0.62058908E-02, -0.11014096E+04,  0.44475646E-01, -0.69666476E+07, -0.67437059E+07, -0.37831316E+08,  0.37731058E+09,  0.28620892E+11,  0.14571894E+06,  0.35294610E-04,  0.72529339E-04,  0.48662528E+00, -0.58850000E+00, -0.58850000E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17751182E+01,  0.14665230E+01,  0.43651272E-01,  0.10434921E+03,  0.16000000E+03,  0.15836615E+03,  0.47290146E-10,  0.91793236E-05,  0.12674688E-05,  0.65218289E+00,  0.86792844E+00,  0.72642775E+00,  0.69076239E+00,  0.49504745E+01,  0.52658623E+02,  0.37738761E+03,  0.27128731E-03,  0.19442299E-02,  0.13473303E+02,  0.13832026E+02,  0.96558883E+02,  0.11985775E+04,  0.13031544E+04,  0.85898240E+04,  0.63236774E-02, -0.11124497E+04,  0.45319786E-01, -0.69996283E+07, -0.67525065E+07, -0.36499592E+08,  0.37790110E+09,  0.28808388E+11,  0.14841539E+06,  0.97008033E-05,  0.27552758E-04,  0.35208102E+00, -0.60704473E+00, -0.60704473E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18396980E+01,  0.15082880E+01,  0.44435066E-01,  0.10436405E+03,  0.16000000E+03,  0.15833685E+03,  0.47225606E-10,  0.92341015E-05,  0.12668733E-05,  0.65227536E+00,  0.87304610E+00,  0.72744007E+00,  0.69097043E+00,  0.49519654E+01,  0.52730588E+02,  0.37790336E+03,  0.26967799E-03,  0.19326964E-02,  0.13478959E+02,  0.13825777E+02,  0.96599413E+02,  0.12003741E+04,  0.13039416E+04,  0.86026995E+04,  0.62853014E-02, -0.11147600E+04,  0.45044757E-01, -0.70063809E+07, -0.67539359E+07, -0.36925405E+08,  0.37801491E+09,  0.28847759E+11,  0.14753497E+06,  0.22897647E-05,  0.37168558E-05,  0.61604883E+00, -0.52521429E+00, -0.52521429E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18522125E+01,  0.15145392E+01,  0.44435066E-01,  0.10437912E+03,  0.16000000E+03,  0.15832557E+03,  0.49253083E-10,  0.75720526E-05,  0.12664307E-05,  0.65236958E+00,  0.87340580E+00,  0.72682299E+00,  0.68564760E+00,  0.49138184E+01,  0.50559961E+02,  0.36234716E+03,  0.32887172E-03,  0.23569191E-02,  0.13352409E+02,  0.13998502E+02,  0.95692467E+02,  0.11539084E+04,  0.12795899E+04,  0.82696949E+04,  0.74644065E-02, -0.10441988E+04,  0.53495029E-01, -0.68997464E+07, -0.66504237E+07, -0.36146418E+08,  0.37510291E+09,  0.27660256E+11,  0.17991857E+06,  0.18744006E-03,  0.12773378E-05,  0.14674275E+03, -0.62358333E+00, -0.62358333E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17236129E+01,  0.91181956E+00,  0.55347884E-01,  0.10435447E+03,  0.18231630E+03,  0.15818850E+03,  0.50993289E-10,  0.78430125E-05,  0.12642864E-05,  0.65249883E+00,  0.10346390E+01,  0.74918861E+00,  0.68703583E+00,  0.49237673E+01,  0.48834543E+02,  0.34998164E+03,  0.31750988E-03,  0.22754924E-02,  0.13333535E+02,  0.14173798E+02,  0.95557207E+02,  0.11190454E+04,  0.12593540E+04,  0.80198424E+04,  0.72063260E-02, -0.98695324E+03,  0.51645447E-01, -0.72133195E+07, -0.65746321E+07, -0.11250759E+09,  0.37586238E+09,  0.26716317E+11,  0.17370276E+06,  0.79424323E-04,  0.18744006E-03,  0.42373185E+00, -0.57290187E+00, -0.57290187E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14885556E+01,  0.87021747E+00,  0.59327143E-01,  0.10434834E+03,  0.18765457E+03,  0.15812238E+03,  0.50773232E-10,  0.77993945E-05,  0.12615777E-05,  0.65240899E+00,  0.11340739E+01,  0.75646493E+00,  0.68630512E+00,  0.49185306E+01,  0.49046197E+02,  0.35149850E+03,  0.31928555E-03,  0.22882180E-02,  0.13337650E+02,  0.14217338E+02,  0.95586694E+02,  0.11233318E+04,  0.12618811E+04,  0.80505620E+04,  0.72466455E-02, -0.99403081E+03,  0.51934405E-01, -0.73838850E+07, -0.65887111E+07, -0.12685580E+09,  0.37546262E+09,  0.26832109E+11,  0.17467419E+06,  0.43056715E-04,  0.79424323E-04,  0.54210994E+00, -0.56426190E+00, -0.56426190E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14791064E+01,  0.66462186E+00,  0.62040275E-01,  0.10434784E+03,  0.18058164E+03,  0.15787075E+03,  0.49367133E-10,  0.75804803E-05,  0.12538223E-05,  0.65271850E+00,  0.10251954E+01,  0.75099759E+00,  0.68604518E+00,  0.49166677E+01,  0.50443155E+02,  0.36151006E+03,  0.32850609E-03,  0.23542987E-02,  0.13364877E+02,  0.14027543E+02,  0.95781822E+02,  0.11515548E+04,  0.12782477E+04,  0.82528270E+04,  0.74560803E-02, -0.10403603E+04,  0.53435357E-01, -0.74104679E+07, -0.66424614E+07, -0.10946465E+09,  0.37532042E+09,  0.27596355E+11,  0.17971855E+06,  0.15810469E-03,  0.16589390E-04,  0.95304706E+01, -0.64886905E+00, -0.64886905E+00,
