gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.63554730E+00, -0.63554730E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.15999999E+03,  0.16000000E+03,  0.16000000E+03,  0.50359969E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382701E+00,  0.49007708E+01,  0.49448679E+02,  0.35438296E+03,  0.32173055E-03,  0.23057406E-02,  0.13300834E+02,  0.14114785E+02,  0.95322847E+02,  0.11314691E+04,  0.12666375E+04,  0.81088796E+04,  0.73021964E-02, -0.10074253E+04,  0.52332520E-01, -0.66089727E+07, -0.66089726E+07, -0.66089729E+07,  0.37410690E+09,  0.27052298E+11,  0.17601179E+06,  0.26630661E-03,  0.40639691E-10,  0.65528698E+07, -0.59689500E+00, -0.59689500E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.10431617E+01,  0.34366333E-01,  0.10441380E+03,  0.16000000E+03,  0.15893129E+03,  0.49509205E-10,  0.79720244E-05,  0.12868509E-05,  0.65259161E+00,  0.85326599E+00,  0.72544958E+00,  0.68323835E+00,  0.48965521E+01,  0.50298404E+02,  0.36047267E+03,  0.31237159E-03,  0.22386679E-02,  0.13308503E+02,  0.13962082E+02,  0.95377813E+02,  0.11486349E+04,  0.12765748E+04,  0.82319009E+04,  0.72839198E-02, -0.10355887E+04,  0.52201538E-01, -0.68067533E+07, -0.66409514E+07, -0.34751574E+08,  0.37378486E+09,  0.27517164E+11,  0.17089171E+06,  0.10837466E-03,  0.26630661E-03,  0.40695447E+00, -0.67129517E+00, -0.67129517E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14257843E+01,  0.11738197E+01,  0.41058724E-01,  0.10434795E+03,  0.16000000E+03,  0.15850071E+03,  0.47478922E-10,  0.93776572E-05,  0.12712457E-05,  0.65219180E+00,  0.90708183E+00,  0.72597644E+00,  0.69016627E+00,  0.49462022E+01,  0.52449252E+02,  0.37588712E+03,  0.26554969E-03,  0.19031102E-02,  0.13456222E+02,  0.13845970E+02,  0.96436463E+02,  0.11933512E+04,  0.13008533E+04,  0.85523687E+04,  0.61872784E-02, -0.11057118E+04,  0.44342257E-01, -0.69810265E+07, -0.67490745E+07, -0.38742387E+08,  0.37757497E+09,  0.28693846E+11,  0.14527647E+06,  0.29265846E-04,  0.72871669E-04,  0.40160801E+00, -0.66272366E+00, -0.66272366E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18340887E+01,  0.14887359E+01,  0.43651272E-01,  0.10435527E+03,  0.16000000E+03,  0.15835743E+03,  0.47284807E-10,  0.91651493E-05,  0.12673287E-05,  0.65222074E+00,  0.86375212E+00,  0.72577211E+00,  0.69075353E+00,  0.49504110E+01,  0.52664569E+02,  0.37743022E+03,  0.27170686E-03,  0.19472367E-02,  0.13473825E+02,  0.13830309E+02,  0.96562622E+02,  0.11987260E+04,  0.13032192E+04,  0.85908881E+04,  0.63335227E-02, -0.11126402E+04,  0.45390344E-01, -0.70009985E+07, -0.67520720E+07, -0.36687500E+08,  0.37789625E+09,  0.28811641E+11,  0.14864492E+06,  0.90525748E-05,  0.23989876E-04,  0.37734980E+00, -0.67143786E+00, -0.67143786E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18372270E+01,  0.15058205E+01,  0.44435066E-01,  0.10436623E+03,  0.16000000E+03,  0.15833173E+03,  0.49254138E-10,  0.75722654E-05,  0.12665200E-05,  0.65228893E+00,  0.87225034E+00,  0.72729683E+00,  0.68565655E+00,  0.49138825E+01,  0.50558878E+02,  0.36233940E+03,  0.32886248E-03,  0.23568528E-02,  0.13352583E+02,  0.13998993E+02,  0.95693714E+02,  0.11538866E+04,  0.12795774E+04,  0.82695382E+04,  0.74641966E-02, -0.10441631E+04,  0.53493524E-01, -0.68991203E+07, -0.66504857E+07, -0.36310734E+08,  0.37510780E+09,  0.27659664E+11,  0.17991352E+06,  0.18753471E-03,  0.35916709E-05,  0.52213779E+02, -0.62042844E+00, -0.62042844E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17208982E+01,  0.91225423E+00,  0.55347884E-01,  0.10435291E+03,  0.18193650E+03,  0.15819222E+03,  0.50951887E-10,  0.78349350E-05,  0.12642103E-05,  0.65261211E+00,  0.10320063E+01,  0.74936524E+00,  0.68706621E+00,  0.49239851E+01,  0.48874225E+02,  0.35026603E+03,  0.31783722E-03,  0.22778383E-02,  0.13336882E+02,  0.14169928E+02,  0.95581194E+02,  0.11198491E+04,  0.12598282E+04,  0.80256022E+04,  0.72137601E-02, -0.98828103E+03,  0.51698725E-01, -0.72111967E+07, -0.65764217E+07, -0.11161079E+09,  0.37587900E+09,  0.26738027E+11,  0.17388184E+06,  0.79679450E-04,  0.18753471E-03,  0.42487841E+00, -0.65221417E+00, -0.65221417E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14867609E+01,  0.86834005E+00,  0.59568311E-01,  0.10436905E+03,  0.18833854E+03,  0.15812289E+03,  0.50762151E-10,  0.77967680E-05,  0.12613873E-05,  0.65245124E+00,  0.11459706E+01,  0.75769121E+00,  0.68643655E+00,  0.49194725E+01,  0.49056904E+02,  0.35157523E+03,  0.31939311E-03,  0.22889889E-02,  0.13340923E+02,  0.14221499E+02,  0.95610154E+02,  0.11235486E+04,  0.12620086E+04,  0.80521158E+04,  0.72490885E-02, -0.99438875E+03,  0.51951913E-01, -0.74083356E+07, -0.65891348E+07, -0.12882413E+09,  0.37553452E+09,  0.26837966E+11,  0.17473303E+06,  0.41035930E-04,  0.79679450E-04,  0.51501272E+00, -0.64878560E+00, -0.64878560E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14786226E+01,  0.66746471E+00,  0.62040275E-01,  0.10434893E+03,  0.18062402E+03,  0.15787380E+03,  0.49365488E-10,  0.75812372E-05,  0.12538876E-05,  0.65256327E+00,  0.10236039E+01,  0.75126232E+00,  0.68601689E+00,  0.49164650E+01,  0.50444836E+02,  0.36152210E+03,  0.32847330E-03,  0.23540637E-02,  0.13364198E+02,  0.14027003E+02,  0.95776955E+02,  0.11515886E+04,  0.12782670E+04,  0.82530695E+04,  0.74553348E-02, -0.10404149E+04,  0.53430014E-01, -0.74034024E+07, -0.66421456E+07, -0.10955990E+09,  0.37530494E+09,  0.27597274E+11,  0.17970060E+06,  0.15803034E-03,  0.15087145E-04,  0.10474502E+02, -0.63807140E+00, -0.63807140E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17267371E+01,  0.83339310E+00,  0.67526830E-01,  0.10435365E+03,  0.20738978E+03,  0.15786921E+03,  0.48774750E-10,  0.74825182E-05,  0.12549682E-05,  0.65221625E+00,  0.11486122E+01,  0.75904580E+00,  0.68605757E+00,  0.49167565E+01,  0.51055802E+02,  0.36590070E+03,  0.33280694E-03,  0.23851215E-02,  0.13391140E+02,  0.13891372E+02,  0.95970042E+02,  0.11638966E+04,  0.12852578E+04,  0.83412766E+04,  0.75537753E-02, -0.10604624E+04,  0.54135506E-01, -0.79566568E+07, -0.66424168E+07, -0.20444617E+09,  0.37532719E+09,  0.27931520E+11,  0.18207144E+06,  0.80276949E-04,  0.15803034E-03,  0.50798442E+00, -0.63721430E+00, -0.63721430E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.19063101E+01,  0.71535813E+00,  0.69395876E-01,  0.10434855E+03,  0.18906728E+03,  0.15772082E+03,  0.48831033E-10,  0.74728385E-05,  0.12521531E-05,  0.65234029E+00,  0.11587964E+01,  0.76189244E+00,  0.68619267E+00,  0.49177247E+01,  0.50996955E+02,  0.36547896E+03,  0.33323803E-03,  0.23882110E-02,  0.13398281E+02,  0.13891735E+02,  0.96021222E+02,  0.11627131E+04,  0.12845907E+04,  0.83327955E+04,  0.75635414E-02, -0.10585412E+04,  0.54205497E-01, -0.78850534E+07, -0.66429036E+07, -0.13202258E+09,  0.37540110E+09,  0.27899326E+11,  0.18230729E+06,  0.29283453E-04,  0.80276949E-04,  0.36478034E+00, -0.66571414E+00, -0.66571414E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18435500E+01,  0.67996746E+00,  0.71084047E-01,  0.10434791E+03,  0.18452464E+03,  0.15758609E+03,  0.48657908E-10,  0.74522858E-05,  0.12482668E-05,  0.65217459E+00,  0.11554951E+01,  0.75838375E+00,  0.68666554E+00,  0.49211136E+01,  0.51178401E+02,  0.36677933E+03,  0.33415706E-03,  0.23947974E-02,  0.13409048E+02,  0.13882477E+02,  0.96098382E+02,  0.11663662E+04,  0.12866542E+04,  0.83589761E+04,  0.75844207E-02, -0.10644785E+04,  0.54355132E-01, -0.78902267E+07, -0.66474448E+07, -0.11939490E+09,  0.37565980E+09,  0.27998591E+11,  0.18281007E+06,  0.40535813E-05,  0.67548161E-05,  0.60010239E+00, -0.56314290E+00, -0.56314290E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18160374E+01,  0.87578516E+00,  0.71566381E-01,  0.10434847E+03,  0.18383777E+03,  0.15756752E+03,  0.49236541E-10,  0.75652661E-05,  0.12469246E-05,  0.65217804E+00,  0.11520771E+01,  0.75914258E+00,  0.68711086E+00,  0.49243051E+01,  0.50576948E+02,  0.36246890E+03,  0.32916674E-03,  0.23590334E-02,  0.13388836E+02,  0.14041934E+02,  0.95953533E+02,  0.11542511E+04,  0.12797856E+04,  0.82721504E+04,  0.74710872E-02, -0.10447593E+04,  0.53542907E-01, -0.78880978E+07, -0.66417583E+07, -0.11750403E+09,  0.37590342E+09,  0.27669549E+11,  0.18007997E+06,  0.15134400E-03,  0.33052174E-05,  0.45789424E+02, -0.63171410E+00, -0.63171410E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.16070174E+01,  0.90788654E+00,  0.76329434E-01,  0.10434783E+03,  0.20039203E+03,  0.15749682E+03,  0.49511463E-10,  0.76315412E-05,  0.12428315E-05,  0.65224267E+00,  0.12425607E+01,  0.76101451E+00,  0.69025904E+00,  0.49468671E+01,  0.50296109E+02,  0.36045622E+03,  0.32630813E-03,  0.23385466E-02,  0.13415046E+02,  0.14185679E+02,  0.96141372E+02,  0.11485835E+04,  0.12765374E+04,  0.82315326E+04,  0.74061930E-02, -0.10354932E+04,  0.53077830E-01, -0.83334479E+07, -0.66485354E+07, -0.17205481E+09,  0.37762572E+09,  0.27515909E+11,  0.17851609E+06,  0.67108421E-04,  0.15134400E-03,  0.44341647E+00, -0.63728570E+00, -0.63728570E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14205691E+01,  0.10050536E+01,  0.77897022E-01,  0.10434837E+03,  0.20447969E+03,  0.15753988E+03,  0.49566174E-10,  0.76327875E-05,  0.12445163E-05,  0.65222353E+00,  0.12720682E+01,  0.76494154E+00,  0.69016370E+00,  0.49461838E+01,  0.50240593E+02,  0.36005836E+03,  0.32625485E-03,  0.23381648E-02,  0.13419154E+02,  0.14187774E+02,  0.96170811E+02,  0.11474637E+04,  0.12758948E+04,  0.82235072E+04,  0.74049698E-02, -0.10336622E+04,  0.53069064E-01, -0.85831390E+07, -0.66456020E+07, -0.19010519E+09,  0.37757357E+09,  0.27485537E+11,  0.17848694E+06,  0.28619628E-04,  0.67108421E-04,  0.42646850E+00, -0.62521420E+00, -0.62521420E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14226403E+01,  0.98184569E+00,  0.78982274E-01,  0.10434839E+03,  0.20440900E+03,  0.15743638E+03,  0.49407016E-10,  0.76064922E-05,  0.12410175E-05,  0.65219479E+00,  0.12798105E+01,  0.76411539E+00,  0.69106595E+00,  0.49526499E+01,  0.50402436E+02,  0.36121823E+03,  0.32738270E-03,  0.23462477E-02,  0.13436792E+02,  0.14184611E+02,  0.96297217E+02,  0.11507271E+04,  0.12777630E+04,  0.82468952E+04,  0.74305938E-02, -0.10389935E+04,  0.53252704E-01, -0.86177087E+07, -0.66544006E+07, -0.19002247E+09,  0.37806717E+09,  0.27574078E+11,  0.17910396E+06,  0.41031915E-05,  0.76274971E-05,  0.53794731E+00, -0.58628570E+00, -0.58628570E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14150664E+01,  0.91144012E+00,  0.78982274E-01,  0.10434829E+03,  0.20425003E+03,  0.15742403E+03,  0.49183799E-10,  0.75663487E-05,  0.12434333E-05,  0.65220782E+00,  0.12788302E+01,  0.76373518E+00,  0.68823278E+00,  0.49323456E+01,  0.50631184E+02,  0.36285760E+03,  0.32911964E-03,  0.23586958E-02,  0.13412370E+02,  0.14079822E+02,  0.96122190E+02,  0.11553420E+04,  0.12804037E+04,  0.82799685E+04,  0.74700105E-02, -0.10465322E+04,  0.53535191E-01, -0.85922333E+07, -0.66348535E+07, -0.18871726E+09,  0.37651721E+09,  0.27699221E+11,  0.18005420E+06,  0.14974427E-03,  0.32762434E-05,  0.45706090E+02, -0.63235710E+00, -0.63235710E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14742662E+01,  0.89079369E+00,  0.83564452E-01,  0.10435095E+03,  0.21262864E+03,  0.15735557E+03,  0.49111116E-10,  0.75452116E-05,  0.12440379E-05,  0.65221065E+00,  0.13319483E+01,  0.76972503E+00,  0.68692361E+00,  0.49229631E+01,  0.50706116E+02,  0.36339461E+03,  0.33004163E-03,  0.23653035E-02,  0.13412258E+02,  0.13978080E+02,  0.96121386E+02,  0.11568540E+04,  0.12812674E+04,  0.82908047E+04,  0.74909197E-02, -0.10490013E+04,  0.53685040E-01, -0.89844559E+07, -0.66043905E+07, -0.23292560E+09,  0.37580098E+09,  0.27740215E+11,  0.18055861E+06,  0.63592985E-04,  0.14974427E-03,  0.42467724E+00, -0.64157140E+00, -0.64157140E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14405283E+01,  0.78173761E+00,  0.86759918E-01,  0.10434792E+03,  0.21468194E+03,  0.15741168E+03,  0.49175400E-10,  0.75537690E-05,  0.12471633E-05,  0.65219419E+00,  0.13451170E+01,  0.77565553E+00,  0.68702727E+00,  0.49237061E+01,  0.50639831E+02,  0.36291957E+03,  0.32966774E-03,  0.23626239E-02,  0.13414218E+02,  0.13990724E+02,  0.96135436E+02,  0.11555171E+04,  0.12805042E+04,  0.82812234E+04,  0.74824143E-02, -0.10468187E+04,  0.53624085E-01, -0.92310593E+07, -0.66012045E+07, -0.24598665E+09,  0.37585770E+09,  0.27703952E+11,  0.18035406E+06,  0.25684782E-04,  0.63592985E-04,  0.40389332E+00, -0.63650010E+00, -0.63650010E+00,
