gravity, cap_pressure, black_oil, ov_relaxation, one_phase, wells, n_phases, n_components, aspect_ratio, courant_number, shockfront_courant_number, shockfront_number_ratio, min_total_mobility, max_total_mobility, average_total_mobility, min_Darcy_velocity, max_Darcy_velocity, average_Darcy_velocity, min_shockfront_mobratio, max_shockfront_mobratio, average_shockfront_mobratio, average_longitudinal_capillary, average_transverse_capillary, max_longitudinal_capillary, max_transverse_capillary, min_longitudinal_capillary, min_transverse_capillary, average_buoyancy_number, average_longitudinal_buoyancy, average_transverse_buoyancy, max_buoyancy_number, max_longitudinal_buoyancy, max_transverse_buoyancy, min_buoyancy_number, min_longitudinal_buoyancy, min_transverse_buoyancy, average_overrelaxation, max_overrelaxation, min_overrelaxation, average_invPeclet, max_invPeclet, min_invPeclet, res, resold, res_resold, backtrack_par_factor, btpf,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50366901E-10,  0.77420017E-05,  0.13063020E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.67923028E+00,  0.48678275E+01,  0.49441874E+02,  0.35433419E+03,  0.32165247E-03,  0.23051810E-02,  0.13226026E+02,  0.13951278E+02,  0.94786725E+02,  0.11313326E+04,  0.12665595E+04,  0.81079010E+04,  0.73004142E-02, -0.10071996E+04,  0.52319748E-01, -0.66084521E+07, -0.66084521E+07, -0.66084521E+07,  0.37159213E+09,  0.27048575E+11,  0.17596908E+06,  0.40639691E-10, -0.10000000E+01, -0.40639691E-10, -0.21578962E+00, -0.21578962E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14609869E+01,  0.00000000E+00,  0.00000000E+00,  0.16000000E+03,  0.16000000E+03,  0.16000000E+03,  0.50359936E-10,  0.77401228E-05,  0.12959204E-05,  0.10000000E+01,  0.10000000E+01,  0.10000000E+01,  0.68382732E+00,  0.49007730E+01,  0.49448712E+02,  0.35438320E+03,  0.32173055E-03,  0.23057406E-02,  0.13300840E+02,  0.14114795E+02,  0.95322893E+02,  0.11314700E+04,  0.12666381E+04,  0.81088859E+04,  0.73021964E-02, -0.10074247E+04,  0.52332520E-01, -0.66089727E+07, -0.66089727E+07, -0.66089727E+07,  0.37410707E+09,  0.27052316E+11,  0.17601179E+06,  0.26630661E-03,  0.40639691E-10,  0.65528699E+07, -0.38349438E+00, -0.38349438E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14604229E+01,  0.10439560E+01,  0.30326782E-01,  0.10434783E+03,  0.16000000E+03,  0.15910960E+03,  0.49667665E-10,  0.79194110E-05,  0.12870644E-05,  0.65490984E+00,  0.85180428E+00,  0.75321680E+00,  0.68372432E+00,  0.49000349E+01,  0.50137931E+02,  0.35932261E+03,  0.31444687E-03,  0.22535407E-02,  0.13311726E+02,  0.14001287E+02,  0.95400906E+02,  0.11453961E+04,  0.12747127E+04,  0.82086895E+04,  0.73325227E-02, -0.10302870E+04,  0.52549859E-01, -0.67142575E+07, -0.66380271E+07, -0.16288617E+08,  0.37405072E+09,  0.27429373E+11,  0.17202705E+06,  0.15728821E-03,  0.26630661E-03,  0.59062828E+00, -0.31707597E+00, -0.31707597E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14321552E+01,  0.11377805E+01,  0.37802966E-01,  0.10434820E+03,  0.16000000E+03,  0.15857054E+03,  0.47671242E-10,  0.93192430E-05,  0.12736660E-05,  0.65281955E+00,  0.87899073E+00,  0.72190112E+00,  0.68934314E+00,  0.49403032E+01,  0.52237656E+02,  0.37437067E+03,  0.26721419E-03,  0.19150391E-02,  0.13437481E+02,  0.13857637E+02,  0.96302155E+02,  0.11880699E+04,  0.12985142E+04,  0.85145196E+04,  0.62257363E-02, -0.10988809E+04,  0.44617873E-01, -0.69499812E+07, -0.67403800E+07, -0.36481874E+08,  0.37712466E+09,  0.28578087E+11,  0.14618708E+06,  0.42757334E-04,  0.72922331E-04,  0.58634075E+00, -0.38107657E+00, -0.38107657E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.17584869E+01,  0.14602161E+01,  0.42626311E-01,  0.10434892E+03,  0.16000000E+03,  0.15839865E+03,  0.47400466E-10,  0.91379454E-05,  0.12685613E-05,  0.65218122E+00,  0.87014784E+00,  0.72453824E+00,  0.69037558E+00,  0.49477023E+01,  0.52536064E+02,  0.37650927E+03,  0.27251574E-03,  0.19530337E-02,  0.13463690E+02,  0.13839955E+02,  0.96489989E+02,  0.11955182E+04,  0.13018085E+04,  0.85678986E+04,  0.63521257E-02, -0.11085070E+04,  0.45523666E-01, -0.69909910E+07, -0.67479045E+07, -0.36472139E+08,  0.37768948E+09,  0.28741340E+11,  0.14908744E+06,  0.12693025E-04,  0.25170722E-04,  0.50427735E+00, -0.43908107E+00, -0.43908107E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18197018E+01,  0.14953575E+01,  0.44435066E-01,  0.10436924E+03,  0.16000000E+03,  0.15835144E+03,  0.47256241E-10,  0.92268850E-05,  0.12672838E-05,  0.65230779E+00,  0.87492252E+00,  0.72801399E+00,  0.69085191E+00,  0.49511160E+01,  0.52696404E+02,  0.37765837E+03,  0.26988891E-03,  0.19342080E-02,  0.13475891E+02,  0.13828117E+02,  0.96577426E+02,  0.11995207E+04,  0.13035675E+04,  0.85965837E+04,  0.62901097E-02, -0.11136621E+04,  0.45079216E-01, -0.70042851E+07, -0.67531273E+07, -0.36912347E+08,  0.37795007E+09,  0.28829058E+11,  0.14765036E+06,  0.39396107E-05,  0.63474606E-05,  0.62065934E+00, -0.34983772E+00, -0.34983772E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.18515545E+01,  0.15127985E+01,  0.44435066E-01,  0.10437594E+03,  0.16000000E+03,  0.15833378E+03,  0.49258678E-10,  0.75726329E-05,  0.12666159E-05,  0.65234964E+00,  0.87437451E+00,  0.72718994E+00,  0.68564003E+00,  0.49137641E+01,  0.50554218E+02,  0.36230601E+03,  0.32884652E-03,  0.23567385E-02,  0.13352294E+02,  0.13999024E+02,  0.95691644E+02,  0.11537926E+04,  0.12795238E+04,  0.82688650E+04,  0.74638339E-02, -0.10440098E+04,  0.53490924E-01, -0.68991855E+07, -0.66503491E+07, -0.36236962E+08,  0.37509876E+09,  0.27657114E+11,  0.17990479E+06,  0.18756155E-03,  0.24220576E-05,  0.77438931E+02, -0.46196180E+00, -0.46196180E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.15805297E+01,  0.91952494E+00,  0.53358254E-01,  0.10434802E+03,  0.16297378E+03,  0.15817220E+03,  0.50740163E-10,  0.78064226E-05,  0.12640812E-05,  0.65217533E+00,  0.98836858E+00,  0.74343199E+00,  0.68556451E+00,  0.49132229E+01,  0.49078162E+02,  0.35172759E+03,  0.31899810E-03,  0.22861579E-02,  0.13319402E+02,  0.14184576E+02,  0.95455920E+02,  0.11239774E+04,  0.12622585E+04,  0.80551889E+04,  0.72401300E-02, -0.99509274E+03,  0.51887710E-01, -0.70748404E+07, -0.65836896E+07, -0.74965938E+08,  0.37505745E+09,  0.26849596E+11,  0.17451693E+06,  0.10434702E-03,  0.18756155E-03,  0.55633479E+00, -0.41888250E+00, -0.41888250E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14774437E+01,  0.88605525E+00,  0.57337514E-01,  0.10436956E+03,  0.18882325E+03,  0.15817769E+03,  0.50716665E-10,  0.77907463E-05,  0.12630077E-05,  0.65231465E+00,  0.10771325E+01,  0.75339259E+00,  0.68593812E+00,  0.49159005E+01,  0.49100902E+02,  0.35189055E+03,  0.31963998E-03,  0.22907581E-02,  0.13333919E+02,  0.14197980E+02,  0.95559956E+02,  0.11244391E+04,  0.12625319E+04,  0.80584974E+04,  0.72546968E-02, -0.99585711E+03,  0.51992106E-01, -0.73110794E+07, -0.65895165E+07, -0.13024349E+09,  0.37526185E+09,  0.26862037E+11,  0.17486809E+06,  0.63801023E-04,  0.10434702E-03,  0.61143121E+00, -0.34560138E+00, -0.34560138E+00,
T, T, F, T, F, F,  0.20000000E+01,  0.00000000E+00,  0.26770659E+01,  0.14767888E+01,  0.86196840E+00,  0.61135898E-01,  0.10434783E+03,  0.17774977E+03,  0.15796172E+03,  0.50644459E-10,  0.77825019E-05,  0.12574244E-05,  0.65241891E+00,  0.10891319E+01,  0.75376679E+00,  0.68726535E+00,  0.49254122E+01,  0.49170907E+02,  0.35239226E+03,  0.31997859E-03,  0.22931848E-02,  0.13347520E+02,  0.14173328E+02,  0.95657435E+02,  0.11258554E+04,  0.12633630E+04,  0.80686481E+04,  0.72623898E-02, -0.99819158E+03,  0.52047239E-01, -0.73402371E+07, -0.65954781E+07, -0.10226564E+09,  0.37598794E+09,  0.26900335E+11,  0.17505333E+06,  0.15529782E-04,  0.22358335E-04,  0.69458580E+00, -0.25394988E+00, -0.25394988E+00,
